Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.90000","29.79922","0.04320"
"18.00000","29.96587","0.04456"
"18.10000","30.13241","0.04957"
"18.20000","30.29906","0.05374"
"18.30000","30.46577","0.05269"
"18.40000","30.63234","0.05676"
"18.50000","30.79924","0.05834"
"18.60000","30.96591","0.06696"
"18.70000","31.13262","0.06456"
"18.80000","31.29930","0.07451"
"18.90000","31.46576","0.07746"
"19.00000","31.63237","0.06981"
"19.10000","31.79909","0.07360"
"19.20000","31.96587","0.07710"
"19.30000","32.13249","0.08681"
"19.40000","32.29922","0.08705"
"19.50000","32.46602","0.09196"
"19.60000","32.63256","0.09654"
"19.70000","32.79922","0.10068"
"19.80000","32.96586","0.10879"
"19.90000","33.13254","0.11192"
"20.00000","33.29908","0.12144"
"20.10000","33.46571","0.12311"
"20.20000","33.63243","0.12757"
"20.30000","33.79925","0.13142"
"20.40000","33.96594","0.13615"
"20.50000","34.13251","0.13964"
"20.60000","34.29915","0.13570"
"20.70000","34.46586","0.15141"
"20.80000","34.63253","0.15188"
"20.90000","34.79907","0.16979"
"21.00000","34.96577","0.17476"
"21.10000","35.13239","0.14692"
"21.20000","35.29919","0.18017"
"21.30000","35.46601","0.18697"
"21.40000","35.63263","0.18840"
"21.50000","35.79922","0.19301"
"21.60000","35.96584","0.19328"
"21.70000","36.13256","0.20249"
"21.80000","36.29908","0.19929"
"21.90000","36.46571","0.18425"
"22.00000","36.63243","0.20945"
"22.10000","36.79911","0.23310"
"22.20000","36.96613","0.20904"
"22.30000","37.13258","0.22349"
"22.40000","37.29924","0.22846"
"22.50000","37.46584","0.24222"
"22.60000","37.63248","0.23728"
"22.70000","37.79897","0.24626"
"22.80000","37.96573","0.26243"
"22.90000","38.13240","0.25611"
"23.00000","38.29914","0.27540"
"23.10000","38.46599","0.26957"
"23.20000","38.63255","0.28174"
"23.30000","38.79927","0.27468"
"23.40000","38.96580","0.29161"
"23.50000","39.13240","0.23435"
"23.60000","39.29899","0.28146"
"23.70000","39.46568","0.31418"
"23.80000","39.63252","0.31397"
"23.90000","39.79929","0.30590"
"24.00000","39.96595","0.31444"
"24.10000","40.13257","0.32823"
"24.20000","40.29926","0.32560"
"24.30000","40.46589","0.33347"
"24.40000","40.63244","0.33344"
"24.50000","40.79914","0.34508"
"24.60000","40.96576","0.33994"
"24.70000","41.13237","0.35181"
"24.80000","41.29928","0.34645"
"24.90000","41.46599","0.36325"
"25.00000","41.63251","0.37314"
"25.10000","41.79912","0.37416"
"25.20000","41.96579","0.38247"
"25.30000","42.13249","0.38577"
"25.40000","42.29905","0.39936"
"25.50000","42.46576","0.40285"
"25.60000","42.63237","0.40599"
"25.70000","42.79923","0.41131"
"25.80000","42.96603","0.41136"
"25.90000","43.13251","0.41491"
"26.00000","43.29918","0.42446"
"26.10000","43.46588","0.43892"
"26.20000","43.63247","0.43734"
"26.30000","43.79912","0.45233"
"26.40000","43.96577","0.46360"
"26.50000","44.13243","0.45511"
"26.60000","44.29908","0.45922"
"26.70000","44.46590","0.47983"
"26.80000","44.63251","0.46947"
"26.90000","44.79945","0.47632"
"27.00000","44.96585","0.48504"
"27.10000","45.13244","0.49475"
"27.20000","45.29904","0.50580"
"27.30000","45.46567","0.49794"
"27.40000","45.63242","0.50759"
"27.50000","45.79918","0.52443"
"27.60000","45.96588","0.52493"
"27.70000","46.13262","0.53690"
"27.80000","46.29926","0.53904"
"27.90000","46.46584","0.53880"
"28.00000","46.63249","0.53850"
"28.10000","46.79900","0.56077"
"28.20000","46.96554","0.57298"
"28.30000","47.13241","0.57380"
"28.40000","47.29926","0.57863"
"28.50000","47.46600","0.58163"
"28.60000","47.63247","0.58363"
"28.70000","47.79924","0.60628"
"28.80000","47.96587","0.60485"
"28.90000","48.13244","0.60505"
"29.00000","48.29904","0.60850"
"29.10000","48.46562","0.61183"
"29.20000","48.63238","0.61217"
"29.30000","48.79922","0.63373"
"29.40000","48.96595","0.62262"
"29.50000","49.13265","0.63419"
"29.60000","49.29914","0.64394"
"29.70000","49.46580","0.66183"
"29.80000","49.63245","0.67070"
"29.90000","49.79906","0.67850"
"30.00000","49.96574","0.68389"
"30.10000","50.13240","0.67607"
"30.20000","50.29922","0.69869"
"30.30000","50.46600","0.69570"
"30.40000","50.63261","0.69833"
"30.50000","50.79920","0.70107"
"30.60000","50.96582","0.70638"
"30.70000","51.13250","0.72269"
"30.80000","51.29909","0.73625"
"30.90000","51.46576","0.73024"
"31.00000","51.63245","0.72895"
"31.10000","51.79916","0.73782"
"31.20000","51.96593","0.74078"
"31.30000","52.13256","0.74951"
"31.40000","52.29931","0.75587"
"31.50000","52.46589","0.76313"
"31.60000","52.63243","0.77748"
"31.70000","52.79905","0.78748"
"31.80000","52.96569","0.80991"
"31.90000","53.13239","0.81215"
"32.00000","53.29924","0.81883"
"32.10000","53.46591","0.82042"
"32.20000","53.63252","0.82531"
"32.30000","53.79917","0.83284"
"32.40000","53.96582","0.84593"
"32.50000","54.13234","0.85035"
"32.60000","54.29912","0.86259"
"32.70000","54.46563","0.86580"
"32.80000","54.63218","0.87347"
"32.90000","54.79926","0.88424"
"33.00000","54.96621","0.88934"
"33.10000","55.13260","0.88580"
"33.20000","55.29922","0.88566"
"33.30000","55.46589","0.89417"
"33.40000","55.63243","0.90624"
"33.50000","55.79911","0.91198"
"33.60000","55.96560","0.92364"
"33.70000","56.13245","0.92713"
"33.80000","56.29924","0.94516"
"33.90000","56.46595","0.95341"
"34.00000","56.63262","0.96721"
"34.10000","56.79926","0.96958"
"34.20000","56.96575","0.96787"
"34.30000","57.13242","0.97431"
"34.40000","57.29904","0.99171"
"34.50000","57.46576","1.00527"
"34.60000","57.63242","1.00187"
"34.70000","57.79927","1.00022"
"34.80000","57.96599","1.02440"
"34.90000","58.13258","1.05076"
"35.00000","58.29925","1.05983"
"35.10000","58.46586","1.05788"
"35.20000","58.63244","1.05597"
"35.30000","58.79908","1.05195"
"35.40000","58.96571","1.06487"
"35.50000","59.13243","1.06944"
"35.60000","59.29907","1.08313"
"35.70000","59.46613","1.07557"
"35.80000","59.63258","1.09073"
"35.90000","59.79904","1.11859"
"36.00000","59.96594","1.14233"
"36.10000","60.13253","1.14926"
"36.20000","60.29909","1.15832"
"36.30000","60.46571","1.16278"
"36.40000","60.63245","1.18375"
"36.50000","60.79923","1.18024"
"36.60000","60.96595","1.18108"
"36.70000","61.13259","1.19013"
"36.80000","61.29914","1.19271"
"36.90000","61.46582","1.21710"
"37.00000","61.63253","1.23264"
"37.10000","61.79909","1.24423"
"37.20000","61.96569","1.25991"
"37.30000","62.13231","1.24522"
"37.40000","62.29909","1.22716"
"37.50000","62.46612","1.24060"
"37.60000","62.63264","1.26005"
"37.70000","62.79930","1.27852"
"37.80000","62.96582","1.28358"
"37.90000","63.13250","1.32146"
"38.00000","63.29911","1.34415"
"38.10000","63.46567","1.35252"
"38.20000","63.63235","1.36208"
"38.30000","63.79924","1.36652"
"38.40000","63.96598","1.36248"
"38.50000","64.13256","1.37967"
"38.60000","64.29922","1.40246"
"38.70000","64.46584","1.40166"
"38.80000","64.63237","1.41148"
"38.90000","64.79903","1.39487"
"39.00000","64.96574","1.40059"
"39.10000","65.13238","1.41597"
"39.20000","65.29949","1.43931"
"39.30000","65.46599","1.43605"
"39.40000","65.63261","1.42150"
"39.50000","65.79920","1.43243"
"39.60000","65.96589","1.45792"
"39.70000","66.13253","1.47301"
"39.80000","66.29900","1.47889"
"39.90000","66.46577","1.48536"
"40.00000","66.63250","1.49074"
"40.10000","66.79916","1.51155"
"40.20000","66.96602","1.53640"
"40.30000","67.13258","1.54064"
"40.40000","67.29919","1.54221"
"40.50000","67.46583","1.55612"
"40.60000","67.63248","1.59115"
"40.70000","67.79913","1.61045"
"40.80000","67.96572","1.62682"
"40.90000","68.13249","1.61010"
"41.00000","68.29922","1.60635"
"41.10000","68.46594","1.61697"
"41.20000","68.63260","1.64490"
"41.30000","68.79914","1.64350"
"41.40000","68.96581","1.65830"
"41.50000","69.13249","1.64323"
"41.60000","69.29902","1.68386"
"41.70000","69.46573","1.69985"
"41.80000","69.63255","1.71916"
"41.90000","69.79915","1.72661"
"42.00000","69.96584","1.70514"
"42.10000","70.13256","1.72817"
"42.20000","70.29936","1.74743"
"42.30000","70.46591","1.76930"
"42.40000","70.63247","1.76507"
"42.50000","70.79916","1.76169"
"42.60000","70.96566","1.80732"
