Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01959"
"0.10000","0.12511","-0.02084"
"0.20000","0.29838","-0.01269"
"0.30000","0.46578","-0.01691"
"0.40000","0.63258","-0.00793"
"0.50000","0.79928","-0.01330"
"0.60000","0.96576","-0.02331"
"0.70000","1.13228","-0.01082"
"0.80000","1.29901","-0.01494"
"0.90000","1.46578","-0.01684"
"1.00000","1.63259","-0.01230"
"1.10000","1.79920","-0.01416"
"1.20000","1.96589","-0.01503"
"1.30000","2.13259","-0.01439"
"1.40000","2.29926","-0.01764"
"1.50000","2.46583","-0.01583"
"1.60000","2.63236","-0.00519"
"1.70000","2.79906","-0.01519"
"1.80000","2.96584","-0.01198"
"1.90000","3.13255","-0.01816"
"2.00000","3.29925","-0.01291"
"2.10000","3.46587","-0.00593"
"2.20000","3.63255","-0.00796"
"2.30000","3.79928","-0.01233"
"2.40000","3.96580","-0.01377"
"2.50000","4.13251","-0.00450"
"2.60000","4.29907","-0.00601"
"2.70000","4.46575","-0.01159"
"2.80000","4.63252","-0.00612"
"2.90000","4.79918","-0.01658"
"3.00000","4.96594","-0.01059"
"3.10000","5.13257","-0.01291"
"3.20000","5.29919","-0.00787"
"3.30000","5.46586","-0.01705"
"3.40000","5.63244","-0.01434"
"3.50000","5.79901","-0.01406"
"3.60000","5.96588","-0.01249"
"3.70000","6.13251","-0.00488"
"3.80000","6.29910","-0.01319"
"3.90000","6.46581","-0.00944"
"4.00000","6.63267","-0.01648"
"4.10000","6.79935","-0.01325"
"4.20000","6.96574","-0.00782"
"4.30000","7.13238","-0.00782"
"4.40000","7.29899","-0.00702"
"4.50000","7.46581","-0.01447"
"4.60000","7.63254","-0.00651"
"4.70000","7.79913","-0.00551"
"4.80000","7.96597","-0.00456"
"4.90000","8.13259","-0.00728"
"5.00000","8.29925","-0.00629"
"5.10000","8.46587","-0.00446"
"5.20000","8.63240","-0.00864"
"5.30000","8.79894","-0.01293"
"5.40000","8.96567","-0.00677"
"5.50000","9.13255","-0.00613"
"5.60000","9.29926","-0.00543"
"5.70000","9.46588","-0.00528"
"5.80000","9.63260","-0.00708"
"5.90000","9.79924","-0.01174"
"6.00000","9.96583","-0.01229"
"6.10000","10.13233","0.00172"
"6.20000","10.29897","-0.00676"
"6.30000","10.46577","-0.00743"
"6.40000","10.63255","0.00213"
"6.50000","10.79925","-0.00397"
"6.60000","10.96597","0.00467"
"6.70000","11.13257","-0.00524"
"6.80000","11.29922","-0.01343"
"6.90000","11.46574","-0.00487"
"7.00000","11.63238","0.00180"
"7.10000","11.79926","0.00145"
"7.20000","11.96578","-0.00872"
"7.30000","12.13249","-0.00180"
"7.40000","12.29919","-0.00263"
"7.50000","12.46590","-0.00124"
"7.60000","12.63260","-0.00405"
"7.70000","12.79923","-0.00595"
"7.80000","12.96583","-0.00125"
"7.90000","13.13246","-0.00796"
"8.00000","13.29910","-0.00042"
"8.10000","13.46578","-0.00398"
"8.20000","13.63255","0.01074"
"8.30000","13.79915","-0.00101"
"8.40000","13.96581","0.00179"
"8.50000","14.13249","0.00168"
