Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00002","-0.01206"
"0.10000","0.12170","-0.02185"
"0.20000","0.29800","-0.02460"
"0.30000","0.46572","-0.01440"
"0.40000","0.63260","-0.01840"
"0.50000","0.79928","-0.01257"
"0.60000","0.96579","-0.01562"
"0.70000","1.13230","-0.01224"
"0.80000","1.29908","-0.01098"
"0.90000","1.46579","-0.01381"
"1.00000","1.63261","-0.01560"
"1.10000","1.79929","-0.01407"
"1.20000","1.96585","-0.00298"
"1.30000","2.13263","-0.01117"
"1.40000","2.29927","-0.01019"
"1.50000","2.46581","-0.01228"
"1.60000","2.63234","-0.01348"
"1.70000","2.79907","-0.00775"
"1.80000","2.96581","-0.00962"
"1.90000","3.13258","-0.01221"
"2.00000","3.29924","-0.00988"
"2.10000","3.46592","-0.01249"
"2.20000","3.63254","-0.00784"
"2.30000","3.79918","-0.01290"
"2.40000","3.96595","-0.01347"
"2.50000","4.13239","-0.01449"
"2.60000","4.29905","-0.00926"
"2.70000","4.46575","-0.01202"
"2.80000","4.63251","-0.00994"
"2.90000","4.79919","-0.02498"
"3.00000","4.96595","-0.00972"
"3.10000","5.13258","-0.01643"
"3.20000","5.29915","-0.00966"
"3.30000","5.46586","-0.00880"
"3.40000","5.63244","-0.01093"
"3.50000","5.79910","-0.01216"
"3.60000","5.96579","-0.01038"
"3.70000","6.13250","-0.01096"
"3.80000","6.29906","-0.01706"
"3.90000","6.46586","-0.01089"
"4.00000","6.63268","-0.00872"
"4.10000","6.79937","-0.01032"
"4.20000","6.96572","-0.01016"
"4.30000","7.13239","-0.00160"
"4.40000","7.29900","-0.00969"
"4.50000","7.46581","-0.01005"
"4.60000","7.63255","-0.00749"
"4.70000","7.79919","-0.00365"
"4.80000","7.96594","-0.00608"
"4.90000","8.13256","-0.00911"
"5.00000","8.29931","-0.00318"
"5.10000","8.46588","-0.00265"
"5.20000","8.63237","-0.00192"
"5.30000","8.79895","-0.00663"
"5.40000","8.96574","-0.01922"
"5.50000","9.13253","-0.00712"
"5.60000","9.29927","-0.01067"
"5.70000","9.46594","-0.00500"
"5.80000","9.63263","-0.00904"
"5.90000","9.79921","-0.00499"
"6.00000","9.96581","0.00233"
"6.10000","10.13237","-0.00399"
"6.20000","10.29899","-0.00399"
"6.30000","10.46577","-0.01007"
"6.40000","10.63257","-0.00312"
"6.50000","10.79925","-0.00901"
"6.60000","10.96593","-0.00368"
"6.70000","11.13261","-0.00363"
"6.80000","11.29924","0.00537"
"6.90000","11.46577","-0.00483"
"7.00000","11.63239","-0.00345"
"7.10000","11.79911","-0.00103"
"7.20000","11.96572","-0.00004"
"7.30000","12.13245","0.00298"
"7.40000","12.29918","0.00370"
"7.50000","12.46583","0.00697"
"7.60000","12.63259","0.00071"
"7.70000","12.79924","-0.00275"
"7.80000","12.96579","0.00864"
"7.90000","13.13245","0.00254"
"8.00000","13.29915","-0.00109"
"8.10000","13.46580","-0.00060"
"8.20000","13.63257","0.00277"
"8.30000","13.79911","0.00459"
"8.40000","13.96581","0.00041"
"8.50000","14.13256","0.00477"
