Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.20000","30.29916","0.66956"
"18.30000","30.46576","0.67639"
"18.40000","30.63245","0.69767"
"18.50000","30.79909","0.71071"
"18.60000","30.96571","0.70917"
"18.70000","31.13248","0.71033"
"18.80000","31.29921","0.71657"
"18.90000","31.46598","0.73245"
"19.00000","31.63255","0.73185"
"19.10000","31.79919","0.73514"
"19.20000","31.96578","0.74271"
"19.30000","32.13231","0.74166"
"19.40000","32.29900","0.74396"
"19.50000","32.46596","0.75531"
"19.60000","32.63253","0.78042"
"19.70000","32.79927","0.78008"
"19.80000","32.96590","0.78798"
"19.90000","33.13254","0.80158"
"20.00000","33.29921","0.81340"
"20.10000","33.46579","0.81993"
"20.20000","33.63243","0.82438"
"20.30000","33.79905","0.81919"
"20.40000","33.96569","0.81941"
"20.50000","34.13248","0.83558"
"20.60000","34.29927","0.84314"
"20.70000","34.46603","0.84622"
"20.80000","34.63245","0.85589"
"20.90000","34.79901","0.87876"
"21.00000","34.96578","0.88886"
"21.10000","35.13249","0.89385"
"21.20000","35.29919","0.88867"
"21.30000","35.46569","0.89326"
"21.40000","35.63247","0.88979"
"21.50000","35.79921","0.88922"
"21.60000","35.96597","0.88862"
"21.70000","36.13256","0.89734"
"21.80000","36.29914","0.90347"
"21.90000","36.46584","0.93876"
"22.00000","36.63248","0.95642"
"22.10000","36.79911","0.95388"
"22.20000","36.96572","0.96177"
"22.30000","37.13238","0.97078"
"22.40000","37.29917","0.97407"
"22.50000","37.46594","0.96459"
"22.60000","37.63266","0.98043"
"22.70000","37.79932","0.99214"
"22.80000","37.96569","1.00396"
"22.90000","38.13243","1.02328"
"23.00000","38.29908","1.02627"
"23.10000","38.46574","1.04073"
"23.20000","38.63249","1.03980"
"23.30000","38.79916","1.03443"
"23.40000","38.96592","1.03588"
"23.50000","39.13258","1.02987"
"23.60000","39.29922","1.03762"
"23.70000","39.46583","1.03871"
"23.80000","39.63236","1.05901"
"23.90000","39.79904","1.06724"
"24.00000","39.96565","1.09602"
"24.10000","40.13257","1.10138"
"24.20000","40.29939","1.10664"
"24.30000","40.46596","1.10807"
"24.40000","40.63253","1.11455"
"24.50000","40.79918","1.10481"
"24.60000","40.96584","1.11123"
"24.70000","41.13243","1.12043"
"24.80000","41.29905","1.11815"
"24.90000","41.46577","1.13816"
"25.00000","41.63243","1.15103"
"25.10000","41.79931","1.14930"
"25.20000","41.96605","1.14580"
"25.30000","42.13253","1.15750"
"25.40000","42.29910","1.16343"
"25.50000","42.46571","1.14826"
"25.60000","42.63239","1.13549"
"25.70000","42.79915","1.14742"
"25.80000","42.96589","1.15780"
"25.90000","43.13245","1.18748"
"26.00000","43.29922","1.21410"
"26.10000","43.46591","1.20837"
"26.20000","43.63259","1.20635"
"26.30000","43.79911","1.21647"
"26.40000","43.96576","1.21175"
"26.50000","44.13254","1.21846"
"26.60000","44.29914","1.22122"
"26.70000","44.46577","1.22841"
"26.80000","44.63243","1.22980"
"26.90000","44.79923","1.24918"
"27.00000","44.96591","1.26071"
"27.10000","45.13257","1.26120"
"27.20000","45.29926","1.27626"
"27.30000","45.46577","1.28218"
"27.40000","45.63245","1.27945"
"27.50000","45.79908","1.28912"
"27.60000","45.96572","1.28712"
"27.70000","46.13251","1.28285"
"27.80000","46.29918","1.29560"
"27.90000","46.46595","1.32020"
"28.00000","46.63258","1.32828"
"28.10000","46.79922","1.32853"
"28.20000","46.96584","1.33416"
"28.30000","47.13247","1.34361"
"28.40000","47.29912","1.35260"
"28.50000","47.46568","1.37555"
"28.60000","47.63240","1.39058"
"28.70000","47.79941","1.38803"
"28.80000","47.96605","1.39083"
"28.90000","48.13257","1.40645"
"29.00000","48.29914","1.41108"
"29.10000","48.46575","1.42141"
"29.20000","48.63248","1.40895"
"29.30000","48.79908","1.40242"
"29.40000","48.96571","1.40905"
"29.50000","49.13246","1.40488"
"29.60000","49.29922","1.42176"
"29.70000","49.46601","1.44101"
"29.80000","49.63262","1.44418"
"29.90000","49.79919","1.47468"
"30.00000","49.96582","1.48664"
"30.10000","50.13232","1.49439"
"30.20000","50.29914","1.49129"
"30.30000","50.46582","1.50727"
"30.40000","50.63269","1.51610"
"30.50000","50.79922","1.53582"
"30.60000","50.96593","1.55130"
"30.70000","51.13255","1.55764"
"30.80000","51.29918","1.54376"
"30.90000","51.46580","1.56695"
"31.00000","51.63245","1.59373"
"31.10000","51.79914","1.58226"
"31.20000","51.96577","1.58103"
"31.30000","52.13253","1.58214"
"31.40000","52.29921","1.58540"
"31.50000","52.46599","1.58942"
"31.60000","52.63251","1.61583"
