Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-6.52641","-0.00699"
"0.10000","-6.40135","-0.00334"
"0.20000","-6.22800","-0.00092"
"0.30000","-6.06060","-0.00075"
"0.40000","-5.89393","0.00644"
"0.50000","-5.72735","-0.00362"
"0.60000","-5.56076","-0.00087"
"0.70000","-5.39401","0.00374"
"0.80000","-5.22726","-0.00417"
"0.90000","-5.06055","-0.00450"
"1.00000","-4.89394","-0.00035"
"1.10000","-4.72730","-0.00079"
"1.20000","-4.56049","-0.00360"
"1.30000","-4.39393","0.00204"
"1.40000","-4.22732","0.00646"
"1.50000","-4.06067","0.00310"
"1.60000","-3.89405","-0.00616"
"1.70000","-3.72736","0.00146"
"1.80000","-3.56076","-0.00442"
"1.90000","-3.39385","0.00401"
"2.00000","-3.22706","0.00566"
"2.10000","-3.06051","0.00576"
"2.20000","-2.89395","0.00467"
"2.30000","-2.72734","0.00054"
"2.40000","-2.56073","0.00742"
"2.50000","-2.39399","0.00630"
"2.60000","-2.22732","-0.00114"
"2.70000","-2.06064","0.00245"
"2.80000","-1.89383","-0.00036"
"2.90000","-1.72718","0.00460"
"3.00000","-1.56043","0.00362"
"3.10000","-1.39389","-0.00012"
"3.20000","-1.22739","-0.00363"
"3.30000","-1.06083","0.00043"
"3.40000","-0.89402","0.00144"
"3.50000","-0.72716","0.00097"
"3.60000","-0.56059","0.00036"
"3.70000","-0.39394","0.00148"
"3.80000","-0.22719","-0.00018"
"3.90000","-0.06048","0.00706"
"4.00000","0.10606","0.00345"
"4.10000","0.27265","0.00305"
"4.20000","0.43922","0.00181"
"4.30000","0.60596","0.01248"
"4.40000","0.77274","0.00660"
"4.50000","0.93941","0.00196"
"4.60000","1.10615","0.00603"
"4.70000","1.27282","0.00796"
"4.80000","1.43949","0.00746"
"4.90000","1.60600","0.00174"
"5.00000","1.77274","0.00640"
"5.10000","1.93934","0.00903"
"5.20000","2.10601","0.01173"
"5.30000","2.27273","0.00228"
"5.40000","2.43940","0.01224"
"5.50000","2.60611","0.00690"
"5.60000","2.77282","0.01108"
"5.70000","2.93943","0.00913"
"5.80000","3.10610","0.01003"
"5.90000","3.27263","0.01128"
"6.00000","3.43925","0.00360"
"6.10000","3.60610","0.00488"
"6.20000","3.77275","0.01131"
"6.30000","3.93938","0.01230"
"6.40000","4.10595","0.00912"
"6.50000","4.27284","0.01252"
"6.60000","4.43959","0.02300"
"6.70000","4.60632","0.00819"
"6.80000","4.77265","0.01244"
"6.90000","4.93922","0.00981"
"7.00000","5.10596","0.01188"
"7.10000","5.27270","0.01207"
"7.20000","5.43940","-0.00030"
"7.30000","5.60607","0.01363"
"7.40000","5.77285","0.01365"
"7.50000","5.93951","0.01333"
"7.60000","6.10618","0.01412"
"7.70000","6.27264","0.01048"
"7.80000","6.43924","0.00794"
"7.90000","6.60592","0.01836"
"8.00000","6.77274","0.01615"
"8.10000","6.93952","0.01369"
"8.20000","7.10613","0.01545"
"8.30000","7.27281","0.01243"
"8.40000","7.43951","0.01106"
"8.50000","7.60605","0.01577"
"8.60000","7.77267","0.01584"
