Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s

Time,Extension,Load
(s),(mm),(N)
"17.60000","21.90828","0.04078"
"17.70000","22.07478","0.04089"
"17.80000","22.24149","0.02944"
"17.90000","22.40821","0.03831"
"18.00000","22.57497","0.03667"
"18.10000","22.74158","0.03952"
"18.20000","22.90803","0.03880"
"18.30000","23.07467","0.05208"
"18.40000","23.24138","0.04730"
"18.50000","23.40807","0.05262"
"18.60000","23.57478","0.05463"
"18.70000","23.74150","0.06558"
"18.80000","23.90826","0.06585"
"18.90000","24.07487","0.06114"
"19.00000","24.24144","0.07275"
"19.10000","24.40808","0.08473"
"19.20000","24.57473","0.08094"
"19.30000","24.74146","0.08440"
"19.40000","24.90801","0.09420"
"19.50000","25.07474","0.10486"
"19.60000","25.24147","0.10245"
"19.70000","25.40815","0.11024"
"19.80000","25.57496","0.12105"
"19.90000","25.74152","0.11487"
"20.00000","25.90815","0.12395"
"20.10000","26.07475","0.13147"
"20.20000","26.24146","0.13747"
"20.30000","26.40802","0.15265"
"20.40000","26.57471","0.15067"
"20.50000","26.74139","0.15023"
"20.60000","26.90824","0.15912"
"20.70000","27.07511","0.16974"
"20.80000","27.24157","0.17565"
"20.90000","27.40802","0.17202"
"21.00000","27.57472","0.17978"
"21.10000","27.74139","0.18516"
"21.20000","27.90807","0.20343"
"21.30000","28.07473","0.20438"
"21.40000","28.24146","0.21375"
"21.50000","28.40822","0.20786"
"21.60000","28.57498","0.22558"
"21.70000","28.74149","0.22172"
"21.80000","28.90815","0.23675"
"21.90000","29.07468","0.23769"
"22.00000","29.24137","0.25294"
"22.10000","29.40801","0.25642"
"22.20000","29.57481","0.25629"
"22.30000","29.74150","0.26345"
"22.40000","29.90825","0.27992"
"22.50000","30.07483","0.27921"
"22.60000","30.24156","0.29144"
"22.70000","30.40812","0.29708"
"22.80000","30.57472","0.30367"
"22.90000","30.74137","0.31155"
"23.00000","30.90807","0.31110"
"23.10000","31.07472","0.32455"
"23.20000","31.24153","0.32842"
"23.30000","31.40829","0.33700"
"23.40000","31.57494","0.34127"
"23.50000","31.74155","0.34130"
"23.60000","31.90801","0.35375"
"23.70000","32.07466","0.36990"
"23.80000","32.24147","0.37412"
"23.90000","32.40813","0.38377"
"24.00000","32.57474","0.37926"
"24.10000","32.74150","0.38986"
"24.20000","32.90820","0.39217"
"24.30000","33.07495","0.39822"
"24.40000","33.24147","0.41264"
"24.50000","33.40807","0.40799"
"24.60000","33.57483","0.41442"
"24.70000","33.74143","0.42118"
"24.80000","33.90805","0.43468"
"24.90000","34.07473","0.44336"
"25.00000","34.24149","0.44990"
"25.10000","34.40819","0.45938"
"25.20000","34.57498","0.48417"
"25.30000","34.74168","0.48854"
"25.40000","34.90813","0.48099"
"25.50000","35.07462","0.48452"
"25.60000","35.24141","0.48632"
"25.70000","35.40807","0.49654"
"25.80000","35.57478","0.49825"
"25.90000","35.74145","0.50265"
"26.00000","35.90819","0.50111"
"26.10000","36.07479","0.51872"
"26.20000","36.24166","0.52537"
"26.30000","36.40808","0.54123"
"26.40000","36.57475","0.53774"
"26.50000","36.74138","0.53453"
"26.60000","36.90813","0.54885"
"26.70000","37.07465","0.54700"
"26.80000","37.24156","0.55256"
"26.90000","37.40834","0.56090"
"27.00000","37.57491","0.56950"
"27.10000","37.74155","0.57330"
"27.20000","37.90819","0.58766"
"27.30000","38.07472","0.58137"
"27.40000","38.24135","0.60635"
"27.50000","38.40802","0.60022"
"27.60000","38.57478","0.60555"
"27.70000","38.74149","0.61376"
"27.80000","38.90831","0.61791"
"27.90000","39.07499","0.62685"
"28.00000","39.24152","0.62597"
"28.10000","39.40813","0.63024"
"28.20000","39.57457","0.63238"
"28.30000","39.74135","0.64445"
"28.40000","39.90818","0.66267"
"28.50000","40.07491","0.67330"
"28.60000","40.24150","0.68017"
"28.70000","40.40825","0.69374"
"28.80000","40.57494","0.68958"
"28.90000","40.74145","0.69380"
"29.00000","40.90807","0.69305"
"29.10000","41.07471","0.69110"
"29.20000","41.24144","0.70383"
"29.30000","41.40808","0.71886"
"29.40000","41.57474","0.72061"
"29.50000","41.74145","0.73472"
"29.60000","41.90819","0.73881"
"29.70000","42.07489","0.74819"
"29.80000","42.24152","0.74945"
"29.90000","42.40838","0.75604"
"30.00000","42.57476","0.75442"
"30.10000","42.74130","0.75553"
"30.20000","42.90807","0.75760"
"30.30000","43.07480","0.77430"
"30.40000","43.24147","0.77613"
"30.50000","43.40820","0.78750"
"30.60000","43.57492","0.80387"
"30.70000","43.74151","0.80133"
"30.80000","43.90807","0.80874"
"30.90000","44.07475","0.81912"
"31.00000","44.24144","0.82043"
"31.10000","44.40804","0.83209"
"31.20000","44.57471","0.82817"
"31.30000","44.74137","0.84361"
"31.40000","44.90839","0.84528"
"31.50000","45.07496","0.85476"
"31.60000","45.24157","0.86785"
"31.70000","45.40813","0.87323"
"31.80000","45.57474","0.87318"
"31.90000","45.74139","0.88530"
"32.00000","45.90805","0.89267"
"32.10000","46.07472","0.88511"
"32.20000","46.24146","0.89264"
"32.30000","46.40820","0.90667"
"32.40000","46.57494","0.91705"
"32.50000","46.74157","0.93237"
"32.60000","46.90809","0.94604"
"32.70000","47.07467","0.95349"
"32.80000","47.24124","0.95496"
"32.90000","47.40806","0.94835"
"33.00000","47.57482","0.95754"
"33.10000","47.74167","0.95969"
"33.20000","47.90823","0.96019"
"33.30000","48.07494","0.96729"
"33.40000","48.24143","0.98185"
"33.50000","48.40808","0.99605"
"33.60000","48.57474","1.00243"
"33.70000","48.74139","1.01355"
"33.80000","48.90808","1.02355"
"33.90000","49.07476","1.03267"
"34.00000","49.24147","1.03178"
"34.10000","49.40822","1.03609"
"34.20000","49.57491","1.03582"
"34.30000","49.74144","1.04127"
"34.40000","49.90805","1.05204"
"34.50000","50.07490","1.06697"
"34.60000","50.24146","1.06898"
"34.70000","50.40799","1.09064"
"34.80000","50.57471","1.09594"
"34.90000","50.74146","1.10028"
"35.00000","50.90825","1.08660"
"35.10000","51.07492","1.08518"
"35.20000","51.24149","1.10772"
"35.30000","51.40808","1.10930"
"35.40000","51.57468","1.11544"
"35.50000","51.74141","1.12174"
"35.60000","51.90811","1.12856"
"35.70000","52.07474","1.12743"
"35.80000","52.24136","1.14621"
"35.90000","52.40807","1.16134"
"36.00000","52.57507","1.16971"
"36.10000","52.74163","1.16193"
"36.20000","52.90816","1.16455"
"36.30000","53.07470","1.17755"
"36.40000","53.24141","1.18646"
"36.50000","53.40811","1.19025"
"36.60000","53.57474","1.20552"
"36.70000","53.74150","1.21464"
"36.80000","53.90821","1.22141"
"36.90000","54.07487","1.22648"
"37.00000","54.24155","1.23841"
"37.10000","54.40820","1.23567"
"37.20000","54.57473","1.24246"
"37.30000","54.74125","1.24467"
"37.40000","54.90792","1.25036"
"37.50000","55.07472","1.24676"
"37.60000","55.24148","1.27174"
"37.70000","55.40847","1.28196"
"37.80000","55.57486","1.28833"
"37.90000","55.74147","1.29562"
"38.00000","55.90811","1.31088"
"38.10000","56.07476","1.32251"
"38.20000","56.24140","1.31604"
"38.30000","56.40803","1.32149"
"38.40000","56.57481","1.31929"
"38.50000","56.74148","1.33077"
"38.60000","56.90828","1.34431"
"38.70000","57.07492","1.34604"
"38.80000","57.24142","1.35598"
"38.90000","57.40799","1.37344"
"39.00000","57.57469","1.37332"
"39.10000","57.74147","1.38054"
"39.20000","57.90813","1.37329"
"39.30000","58.07465","1.37656"
