Strain : Compressive strain (Extension) gauge length,"100.00000",mm
"0.24700","0.28294","-0.00900"
"0.24800","0.28420","-0.00929"
"0.24900","0.28546","-0.00938"
"0.25000","0.28671","-0.00915"
"0.25100","0.28797","-0.00855"
"0.25200","0.28923","-0.00765"
"0.25300","0.29048","-0.00669"
"0.25400","0.29173","-0.00592"
"0.25500","0.29299","-0.00551"
"0.25600","0.29424","-0.00558"
"0.25700","0.29550","-0.00611"
"0.25800","0.29675","-0.00697"
"0.25900","0.29800","-0.00791"
"0.26000","0.29926","-0.00863"
"0.26100","0.30051","-0.00887"
"0.26200","0.30176","-0.00861"
"0.26300","0.30301","-0.00806"
"0.26400","0.30427","-0.00742"
"0.26500","0.30552","-0.00676"
"0.26600","0.30677","-0.00615"
"0.26700","0.30802","-0.00576"
"0.26800","0.30927","-0.00574"
"0.26900","0.31053","-0.00610"
"0.27000","0.31178","-0.00670"
"0.27100","0.31303","-0.00734"
"0.27200","0.31428","-0.00783"
"0.27300","0.31553","-0.00796"
"0.27400","0.31678","-0.00765"
"0.27500","0.31803","-0.00698"
"0.27600","0.31928","-0.00611"
"0.27700","0.32053","-0.00515"
"0.27800","0.32178","-0.00420"
"0.27900","0.32303","-0.00342"
"0.28000","0.32428","-0.00294"
"0.28100","0.32552","-0.00280"
"0.28200","0.32677","-0.00294"
"0.28300","0.32802","-0.00325"
"0.28400","0.32927","-0.00362"
"0.28500","0.33051","-0.00392"
"0.28600","0.33176","-0.00401"
"0.28700","0.33301","-0.00393"
"0.28800","0.33426","-0.00375"
"0.28900","0.33550","-0.00353"
"0.29000","0.33675","-0.00337"
"0.29100","0.33800","-0.00341"
"0.29200","0.33925","-0.00377"
"0.29300","0.34050","-0.00443"
"0.29400","0.34174","-0.00521"
"0.29500","0.34299","-0.00602"
"0.29600","0.34424","-0.00686"
"0.29700","0.34549","-0.00771"
"0.29800","0.34674","-0.00837"
"0.29900","0.34799","-0.00867"
"0.30000","0.34924","-0.00860"
"0.30100","0.35049","-0.00831"
"0.30200","0.35174","-0.00800"
"0.30300","0.35299","-0.00792"
"0.30400","0.35424","-0.00824"
"0.30500","0.35550","-0.00901"
"0.30600","0.35675","-0.01011"
"0.30700","0.35800","-0.01130"
"0.30800","0.35925","-0.01240"
"0.30900","0.36050","-0.01326"
"0.31000","0.36175","-0.01378"
"0.31100","0.36300","-0.01388"
"0.31200","0.36425","-0.01363"
"0.31300","0.36551","-0.01327"
"0.31400","0.36676","-0.01298"
"0.31500","0.36801","-0.01281"
"0.31600","0.36926","-0.01281"
"0.31700","0.37051","-0.01297"
"0.31800","0.37176","-0.01325"
"0.31900","0.37301","-0.01362"
"0.32000","0.37426","-0.01399"
"0.32100","0.37551","-0.01427"
"0.32200","0.37676","-0.01439"
"0.32300","0.37801","-0.01421"
"0.32400","0.37926","-0.01365"
"0.32500","0.38051","-0.01270"
"0.32600","0.38176","-0.01156"
"0.32700","0.38302","-0.01053"
"0.32800","0.38427","-0.00985"
"0.32900","0.38552","-0.00962"
"0.33000","0.38677","-0.00972"
"0.33100","0.38802","-0.00999"
"0.33200","0.38927","-0.01038"
"0.33300","0.39052","-0.01081"
"0.33400","0.39177","-0.01115"
"0.33500","0.39302","-0.01126"
"0.33600","0.39427","-0.01114"
"0.33700","0.39552","-0.01086"
"0.33800","0.39677","-0.01055"
"0.33900","0.39802","-0.01032"
"0.34000","0.39928","-0.01034"
"0.34100","0.40053","-0.01077"
"0.34200","0.40178","-0.01165"
"0.34300","0.40303","-0.01291"
"0.34400","0.40428","-0.01438"
"0.34500","0.40553","-0.01586"
"0.34600","0.40678","-0.01709"
"0.34700","0.40803","-0.01787"
"0.34800","0.40928","-0.01818"
"0.34900","0.41053","-0.01820"
"0.35000","0.41178","-0.01817"
"0.35100","0.41303","-0.01826"
"0.35200","0.41428","-0.01855"
"0.35300","0.41553","-0.01900"
"0.35400","0.41678","-0.01960"
"0.35500","0.41803","-0.02030"
"0.35600","0.41928","-0.02100"
"0.35700","0.42053","-0.02149"
"0.35800","0.42178","-0.02156"
"0.35900","0.42303","-0.02111"
"0.36000","0.42428","-0.02019"
"0.36100","0.42553","-0.01894"
"0.36200","0.42678","-0.01747"
"0.36300","0.42803","-0.01596"
"0.36400","0.42928","-0.01462"
"0.36500","0.43053","-0.01360"
"0.36600","0.43178","-0.01292"
"0.36700","0.43304","-0.01242"
"0.36800","0.43429","-0.01196"
"0.36900","0.43554","-0.01141"
"0.37000","0.43680","-0.01074"
"0.37100","0.43805","-0.00988"
"0.37200","0.43931","-0.00886"
"0.37300","0.44056","-0.00776"
"0.37400","0.44182","-0.00667"
"0.37500","0.44307","-0.00571"
"0.37600","0.44433","-0.00503"
"0.37700","0.44559","-0.00479"
"0.37800","0.44684","-0.00501"
"0.37900","0.44810","-0.00553"
"0.38000","0.44936","-0.00620"
"0.38100","0.45062","-0.00688"
"0.38200","0.45187","-0.00740"
"0.38300","0.45313","-0.00759"
"0.38400","0.45439","-0.00745"
"0.38500","0.45564","-0.00705"
"0.38600","0.45690","-0.00653"
"0.38700","0.45815","-0.00606"
"0.38800","0.45941","-0.00576"
"0.38900","0.46067","-0.00570"
"0.39000","0.46192","-0.00585"
"0.39100","0.46318","-0.00612"
"0.39200","0.46443","-0.00637"
"0.39300","0.46569","-0.00652"
"0.39400","0.46694","-0.00648"
"0.39500","0.46820","-0.00619"
"0.39600","0.46945","-0.00560"
"0.39700","0.47071","-0.00477"
"0.39800","0.47196","-0.00390"
"0.39900","0.47322","-0.00324"
"0.40000","0.47447","-0.00298"
"0.40100","0.47573","-0.00322"
"0.40200","0.47699","-0.00396"
"0.40300","0.47824","-0.00507"
"0.40400","0.47950","-0.00635"
"0.40500","0.48075","-0.00762"
"0.40600","0.48200","-0.00876"
"0.40700","0.48326","-0.00972"
"0.40800","0.48451","-0.01046"
"0.40900","0.48577","-0.01098"
"0.41000","0.48702","-0.01139"
"0.41100","0.48827","-0.01184"
"0.41200","0.48952","-0.01243"
"0.41300","0.49077","-0.01317"
"0.41400","0.49202","-0.01405"
"0.41500","0.49327","-0.01501"
"0.41600","0.49452","-0.01597"
"0.41700","0.49577","-0.01683"
"0.41800","0.49701","-0.01750"
"0.41900","0.49826","-0.01788"
"0.42000","0.49951","-0.01792"
"0.42100","0.50075","-0.01757"
"0.42200","0.50200","-0.01691"
"0.42300","0.50324","-0.01611"
"0.42400","0.50448","-0.01533"
"0.42500","0.50573","-0.01464"
"0.42600","0.50697","-0.01409"
"0.42700","0.50822","-0.01375"
"0.42800","0.50946","-0.01371"
"0.42900","0.51071","-0.01383"
"0.43000","0.51195","-0.01387"
"0.43100","0.51319","-0.01369"
"0.43200","0.51444","-0.01326"
"0.43300","0.51568","-0.01267"
"0.43400","0.51693","-0.01199"
"0.43500","0.51817","-0.01138"
"0.43600","0.51942","-0.01105"
"0.43700","0.52066","-0.01119"
"0.43800","0.52191","-0.01175"
"0.43900","0.52315","-0.01257"
"0.44000","0.52440","-0.01356"
"0.44100","0.52565","-0.01464"
"0.44200","0.52689","-0.01561"
"0.44300","0.52814","-0.01629"
"0.44400","0.52938","-0.01654"
"0.44500","0.53063","-0.01644"
"0.44600","0.53187","-0.01611"
"0.44700","0.53312","-0.01572"
"0.44800","0.53437","-0.01543"
"0.44900","0.53561","-0.01539"
"0.45000","0.53686","-0.01564"
"0.45100","0.53810","-0.01615"
"0.45200","0.53935","-0.01685"
"0.45300","0.54059","-0.01765"
"0.45400","0.54184","-0.01843"
"0.45500","0.54308","-0.01907"
"0.45600","0.54433","-0.01947"
"0.45700","0.54558","-0.01937"
"0.45800","0.54682","-0.01856"
"0.45900","0.54807","-0.01727"
"0.46000","0.54931","-0.01609"
"0.46100","0.55056","-0.01540"
"0.46200","0.55181","-0.01510"
"0.46300","0.55305","-0.01497"
"0.46400","0.55430","-0.01497"
"0.46500","0.55555","-0.01512"
"0.46600","0.55680","-0.01532"
"0.46700","0.55804","-0.01535"
"0.46800","0.55929","-0.01514"
"0.46900","0.56054","-0.01480"
"0.47000","0.56179","-0.01436"
"0.47100","0.56303","-0.01380"
"0.47200","0.56428","-0.01335"
"0.47300","0.56553","-0.01324"
"0.47400","0.56678","-0.01338"
"0.47500","0.56803","-0.01360"
"0.47600","0.56927","-0.01408"
"0.47700","0.57052","-0.01495"
"0.47800","0.57177","-0.01609"
"0.47900","0.57302","-0.01719"
"0.48000","0.57427","-0.01801"
"0.48100","0.57552","-0.01855"
"0.48200","0.57677","-0.01888"
"0.48300","0.57802","-0.01896"
"0.48400","0.57927","-0.01884"
"0.48500","0.58052","-0.01883"
"0.48600","0.58177","-0.01913"
"0.48700","0.58302","-0.01971"
"0.48800","0.58427","-0.02043"
"0.48900","0.58552","-0.02117"
"0.49000","0.58677","-0.02170"
"0.49100","0.58803","-0.02174"
"0.49200","0.58928","-0.02124"
"0.49300","0.59053","-0.02035"
"0.49400","0.59179","-0.01926"
"0.49500","0.59304","-0.01807"
"0.49600","0.59429","-0.01687"
"0.49700","0.59555","-0.01583"
"0.49800","0.59680","-0.01514"
"0.49900","0.59806","-0.01478"
"0.50000","0.59932","-0.01447"
"0.50100","0.60057","-0.01398"
"0.50200","0.60183","-0.01336"
"0.50300","0.60308","-0.01273"
"0.50400","0.60434","-0.01200"
"0.50500","0.60560","-0.01101"
"0.50600","0.60685","-0.00978"
"0.50700","0.60811","-0.00842"
"0.50800","0.60937","-0.00713"
"0.50900","0.61062","-0.00618"
"0.51000","0.61188","-0.00573"
"0.51100","0.61314","-0.00570"
"0.51200","0.61440","-0.00587"
"0.51300","0.61565","-0.00610"
"0.51400","0.61691","-0.00634"
"0.51500","0.61817","-0.00656"
"0.51600","0.61943","-0.00661"
"0.51700","0.62068","-0.00630"
"0.51800","0.62194","-0.00569"
"0.51900","0.62320","-0.00502"
"0.52000","0.62445","-0.00457"
"0.52100","0.62571","-0.00451"
"0.52200","0.62697","-0.00491"
"0.52300","0.62822","-0.00571"
"0.52400","0.62948","-0.00682"
"0.52500","0.63073","-0.00823"
"0.52600","0.63199","-0.00961"
"0.52700","0.63325","-0.01042"
"0.52800","0.63450","-0.01045"
"0.52900","0.63576","-0.01014"
"0.53000","0.63701","-0.00993"
"0.53100","0.63827","-0.00983"
"0.53200","0.63952","-0.00967"
"0.53300","0.64078","-0.00954"
"0.53400","0.64203","-0.00970"
"0.53500","0.64329","-0.01031"
"0.53600","0.64454","-0.01126"
"0.53700","0.64579","-0.01252"
"0.53800","0.64705","-0.01416"
"0.53900","0.64830","-0.01593"
"0.54000","0.64955","-0.01725"
"0.54100","0.65081","-0.01787"
"0.54200","0.65206","-0.01802"
"0.54300","0.65331","-0.01807"
"0.54400","0.65456","-0.01822"
"0.54500","0.65582","-0.01862"
"0.54600","0.65707","-0.01930"
"0.54700","0.65832","-0.02019"
"0.54800","0.65957","-0.02115"
"0.54900","0.66082","-0.02212"
"0.55000","0.66207","-0.02308"
"0.55100","0.66332","-0.02399"
"0.55200","0.66457","-0.02472"
"0.55300","0.66582","-0.02506"
"0.55400","0.66707","-0.02499"
"0.55500","0.66831","-0.02467"
"0.55600","0.66956","-0.02433"
"0.55700","0.67081","-0.02432"
"0.55800","0.67206","-0.02478"
"0.55900","0.67330","-0.02521"
"0.56000","0.67455","-0.02505"
"0.56100","0.67580","-0.02452"
"0.56200","0.67704","-0.02428"
"0.56300","0.67829","-0.02450"
"0.56400","0.67953","-0.02471"
"0.56500","0.68078","-0.02448"
"0.56600","0.68202","-0.02381"
"0.56700","0.68327","-0.02301"
"0.56800","0.68451","-0.02227"
"0.56900","0.68576","-0.02171"
"0.57000","0.68701","-0.02163"
"0.57100","0.68825","-0.02220"
"0.57200","0.68950","-0.02309"
"0.57300","0.69074","-0.02385"
"0.57400","0.69199","-0.02432"
"0.57500","0.69323","-0.02454"
"0.57600","0.69448","-0.02462"
"0.57700","0.69572","-0.02465"
"0.57800","0.69697","-0.02462"
"0.57900","0.69821","-0.02435"
"0.58000","0.69945","-0.02372"
"0.58100","0.70070","-0.02290"
"0.58200","0.70194","-0.02223"
"0.58300","0.70318","-0.02196"
"0.58400","0.70443","-0.02212"
"0.58500","0.70567","-0.02258"
"0.58600","0.70691","-0.02317"
"0.58700","0.70816","-0.02360"
"0.58800","0.70940","-0.02363"
"0.58900","0.71064","-0.02318"
"0.59000","0.71188","-0.02240"
"0.59100","0.71312","-0.02154"
"0.59200","0.71437","-0.02066"
"0.59300","0.71561","-0.01952"
"0.59400","0.71685","-0.01790"
"0.59500","0.71809","-0.01611"
"0.59600","0.71934","-0.01476"
"0.59700","0.72058","-0.01413"
"0.59800","0.72182","-0.01382"
"0.59900","0.72307","-0.01331"
"0.60000","0.72431","-0.01247"
"0.60100","0.72556","-0.01151"
"0.60200","0.72680","-0.01053"
"0.60300","0.72805","-0.00950"
"0.60400","0.72930","-0.00858"
"0.60500","0.73054","-0.00794"
"0.60600","0.73179","-0.00749"
"0.60700","0.73304","-0.00714"
"0.60800","0.73429","-0.00718"
"0.60900","0.73553","-0.00791"
"0.61000","0.73678","-0.00918"
"0.61100","0.73803","-0.01054"
"0.61200","0.73928","-0.01165"
"0.61300","0.74053","-0.01241"
"0.61400","0.74178","-0.01272"
"0.61500","0.74303","-0.01261"
"0.61600","0.74427","-0.01235"
"0.61700","0.74552","-0.01233"
"0.61800","0.74677","-0.01268"
"0.61900","0.74802","-0.01322"
"0.62000","0.74927","-0.01384"
"0.62100","0.75052","-0.01460"
"0.62200","0.75177","-0.01546"
"0.62300","0.75302","-0.01625"
"0.62400","0.75427","-0.01697"
"0.62500","0.75552","-0.01761"
"0.62600","0.75677","-0.01765"
"0.62700","0.75802","-0.01654"
"0.62800","0.75928","-0.01475"
"0.62900","0.76053","-0.01328"
"0.63000","0.76178","-0.01258"
"0.63100","0.76303","-0.01228"
"0.63200","0.76428","-0.01202"
"0.63300","0.76554","-0.01189"
"0.63400","0.76679","-0.01208"
"0.63500","0.76804","-0.01241"
"0.63600","0.76930","-0.01259"
"0.63700","0.77055","-0.01267"
"0.63800","0.77180","-0.01268"
"0.63900","0.77305","-0.01227"
"0.64000","0.77431","-0.01121"
"0.64100","0.77556","-0.00979"
"0.64200","0.77681","-0.00851"
"0.64300","0.77806","-0.00764"
"0.64400","0.77932","-0.00725"
"0.64500","0.78057","-0.00728"
"0.64600","0.78182","-0.00752"
"0.64700","0.78307","-0.00766"
"0.64800","0.78432","-0.00753"
"0.64900","0.78557","-0.00717"
"0.65000","0.78682","-0.00664"
"0.65100","0.78807","-0.00596"
"0.65200","0.78932","-0.00512"
"0.65300","0.79057","-0.00423"
"0.65400","0.79182","-0.00341"
"0.65500","0.79307","-0.00280"
"0.65600","0.79432","-0.00263"
"0.65700","0.79556","-0.00306"
"0.65800","0.79681","-0.00365"
"0.65900","0.79806","-0.00371"
"0.66000","0.79931","-0.00315"
"0.66100","0.80056","-0.00257"
"0.66200","0.80181","-0.00232"
"0.66300","0.80306","-0.00216"
"0.66400","0.80431","-0.00182"
"0.66500","0.80557","-0.00141"
"0.66600","0.80682","-0.00122"
"0.66700","0.80807","-0.00140"
"0.66800","0.80932","-0.00203"
"0.66900","0.81057","-0.00325"
"0.67000","0.81183","-0.00508"
"0.67100","0.81308","-0.00720"
"0.67200","0.81433","-0.00920"
"0.67300","0.81559","-0.01081"
"0.67400","0.81684","-0.01194"
"0.67500","0.81809","-0.01274"
"0.67600","0.81935","-0.01353"
"0.67700","0.82060","-0.01454"
"0.67800","0.82185","-0.01567"
"0.67900","0.82311","-0.01668"
"0.68000","0.82436","-0.01759"
"0.68100","0.82561","-0.01866"
"0.68200","0.82687","-0.02003"
"0.68300","0.82812","-0.02155"
"0.68400","0.82937","-0.02298"
"0.68500","0.83062","-0.02407"
"0.68600","0.83188","-0.02463"
"0.68700","0.83313","-0.02470"
"0.68800","0.83438","-0.02447"
"0.68900","0.83563","-0.02406"
"0.69000","0.83688","-0.02338"
"0.69100","0.83813","-0.02241"
"0.69200","0.83938","-0.02148"
"0.69300","0.84064","-0.02099"
"0.69400","0.84189","-0.02093"
"0.69500","0.84314","-0.02095"
"0.69600","0.84439","-0.02073"
"0.69700","0.84564","-0.02022"
"0.69800","0.84689","-0.01935"
"0.69900","0.84814","-0.01812"
"0.70000","0.84939","-0.01669"
"0.70100","0.85064","-0.01528"
"0.70200","0.85189","-0.01401"
"0.70300","0.85313","-0.01299"
"0.70400","0.85438","-0.01238"
"0.70500","0.85563","-0.01225"
"0.70600","0.85688","-0.01250"
"0.70700","0.85813","-0.01291"
"0.70800","0.85938","-0.01325"
"0.70900","0.86063","-0.01337"
"0.71000","0.86188","-0.01329"
"0.71100","0.86313","-0.01312"
"0.71200","0.86437","-0.01300"
"0.71300","0.86562","-0.01300"
"0.71400","0.86687","-0.01312"
"0.71500","0.86812","-0.01340"
"0.71600","0.86937","-0.01397"
"0.71700","0.87062","-0.01484"
"0.71800","0.87187","-0.01594"
"0.71900","0.87311","-0.01724"
"0.72000","0.87436","-0.01869"
"0.72100","0.87561","-0.02003"
"0.72200","0.87686","-0.02097"
"0.72300","0.87811","-0.02139"
"0.72400","0.87936","-0.02130"
"0.72500","0.88060","-0.02094"
"0.72600","0.88185","-0.02057"
"0.72700","0.88310","-0.02038"
"0.72800","0.88435","-0.02047"
"0.72900","0.88559","-0.02085"
"0.73000","0.88684","-0.02148"
"0.73100","0.88809","-0.02223"
"0.73200","0.88934","-0.02301"
"0.73300","0.89058","-0.02375"
"0.73400","0.89183","-0.02435"
"0.73500","0.89308","-0.02472"
"0.73600","0.89432","-0.02469"
"0.73700","0.89557","-0.02415"
"0.73800","0.89682","-0.02331"
"0.73900","0.89806","-0.02264"
"0.74000","0.89931","-0.02247"
"0.74100","0.90056","-0.02277"
"0.74200","0.90181","-0.02337"
"0.74300","0.90305","-0.02410"
"0.74400","0.90430","-0.02484"
"0.74500","0.90555","-0.02550"
"0.74600","0.90679","-0.02595"
"0.74700","0.90804","-0.02603"
"0.74800","0.90929","-0.02568"
"0.74900","0.91053","-0.02503"
"0.75000","0.91178","-0.02424"
"0.75100","0.91303","-0.02350"
"0.75200","0.91427","-0.02298"
"0.75300","0.91552","-0.02275"
"0.75400","0.91676","-0.02278"
"0.75500","0.91801","-0.02301"
"0.75600","0.91926","-0.02325"
"0.75700","0.92050","-0.02332"
"0.75800","0.92175","-0.02315"
"0.75900","0.92299","-0.02276"
"0.76000","0.92424","-0.02206"
"0.76100","0.92549","-0.02105"
"0.76200","0.92674","-0.01986"
"0.76300","0.92798","-0.01855"
"0.76400","0.92923","-0.01729"
"0.76500","0.93048","-0.01644"
"0.76600","0.93173","-0.01620"
"0.76700","0.93298","-0.01643"
"0.76800","0.93423","-0.01678"
"0.76900","0.93548","-0.01697"
"0.77000","0.93673","-0.01703"
"0.77100","0.93798","-0.01704"
"0.77200","0.93924","-0.01694"
