Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01678"
"0.00100","0.00000","-0.01659"
"0.00200","0.00000","-0.01679"
"0.00300","0.00000","-0.01732"
"0.00400","0.00000","-0.01798"
"0.00500","0.00000","-0.01854"
"0.00600","0.00000","-0.01876"
"0.00700","0.00000","-0.01839"
"0.00800","0.00001","-0.01721"
"0.00900","0.00001","-0.01503"
"0.01000","0.00002","-0.01182"
"0.01100","0.00003","-0.00774"
"0.01200","0.00005","-0.00314"
"0.01300","0.00007","0.00159"
"0.01400","0.00010","0.00602"
"0.01500","0.00013","0.00983"
"0.01600","0.00018","0.01351"
"0.01700","0.00024","0.01822"
"0.01800","0.00031","0.02461"
"0.01900","0.00040","0.03229"
"0.02000","0.00050","0.04044"
"0.02100","0.00062","0.04859"
"0.02200","0.00077","0.05688"
"0.02300","0.00094","0.06535"
"0.02400","0.00113","0.07365"
"0.02500","0.00136","0.08151"
"0.02600","0.00161","0.08888"
"0.02700","0.00189","0.09574"
"0.02800","0.00221","0.10193"
"0.02900","0.00256","0.10742"
"0.03000","0.00295","0.11254"
"0.03100","0.00337","0.11746"
"0.03200","0.00384","0.12224"
"0.03300","0.00434","0.12704"
"0.03400","0.00489","0.13175"
"0.03500","0.00548","0.13601"
"0.03600","0.00611","0.13947"
"0.03700","0.00678","0.14180"
"0.03800","0.00750","0.14292"
"0.03900","0.00826","0.14287"
"0.04000","0.00906","0.14178"
"0.04100","0.00990","0.13997"
"0.04200","0.01079","0.13787"
"0.04300","0.01172","0.13574"
"0.04400","0.01269","0.13343"
"0.04500","0.01370","0.13085"
"0.04600","0.01475","0.12810"
"0.04700","0.01584","0.12505"
"0.04800","0.01696","0.12144"
"0.04900","0.01812","0.11716"
"0.05000","0.01931","0.11224"
"0.05100","0.02054","0.10679"
"0.05200","0.02180","0.10079"
"0.05300","0.02309","0.09431"
"0.05400","0.02441","0.08769"
"0.05500","0.02575","0.08130"
"0.05600","0.02712","0.07529"
"0.05700","0.02851","0.06955"
"0.05800","0.02993","0.06399"
"0.05900","0.03136","0.05849"
"0.06000","0.03281","0.05261"
"0.06100","0.03429","0.04599"
"0.06200","0.03577","0.03880"
"0.06300","0.03727","0.03169"
"0.06400","0.03879","0.02527"
"0.06500","0.04031","0.01960"
"0.06600","0.04185","0.01429"
"0.06700","0.04339","0.00898"
"0.06800","0.04494","0.00371"
"0.06900","0.04650","-0.00127"
"0.07000","0.04806","-0.00580"
"0.07100","0.04963","-0.00976"
"0.07200","0.05119","-0.01299"
"0.07300","0.05276","-0.01568"
"0.07400","0.05433","-0.01830"
"0.07500","0.05590","-0.02123"
"0.07600","0.05747","-0.02445"
"0.07700","0.05904","-0.02761"
"0.07800","0.06060","-0.03039"
"0.07900","0.06216","-0.03266"
"0.08000","0.06372","-0.03441"
"0.08100","0.06528","-0.03565"
"0.08200","0.06682","-0.03650"
"0.08300","0.06837","-0.03714"
"0.08400","0.06991","-0.03766"
"0.08500","0.07144","-0.03813"
"0.08600","0.07296","-0.03872"
"0.08700","0.07448","-0.03950"
"0.08800","0.07600","-0.04030"
"0.08900","0.07751","-0.04092"
"0.09000","0.07901","-0.04124"
"0.09100","0.08050","-0.04117"
"0.09200","0.08199","-0.04063"
"0.09300","0.08347","-0.03966"
"0.09400","0.08494","-0.03849"
"0.09500","0.08641","-0.03737"
"0.09600","0.08787","-0.03642"
"0.09700","0.08932","-0.03561"
"0.09800","0.09076","-0.03501"
"0.09900","0.09220","-0.03477"
"0.10000","0.09363","-0.03488"
"0.10100","0.09506","-0.03511"
"0.10200","0.09648","-0.03530"
"0.10300","0.09789","-0.03533"
"0.10400","0.09930","-0.03505"
"0.10500","0.10070","-0.03440"
"0.10600","0.10210","-0.03347"
"0.10700","0.10349","-0.03240"
"0.10800","0.10487","-0.03131"
"0.10900","0.10625","-0.03035"
"0.11000","0.10763","-0.02967"
"0.11100","0.10900","-0.02939"
"0.11200","0.11036","-0.02944"
"0.11300","0.11172","-0.02964"
"0.11400","0.11308","-0.02983"
"0.11500","0.11443","-0.02990"
"0.11600","0.11578","-0.02970"
"0.11700","0.11712","-0.02906"
"0.11800","0.11846","-0.02801"
"0.11900","0.11980","-0.02680"
"0.12000","0.12113","-0.02565"
"0.12100","0.12246","-0.02472"
"0.12200","0.12379","-0.02410"
"0.12300","0.12511","-0.02379"
"0.12400","0.12643","-0.02374"
"0.12500","0.12775","-0.02390"
"0.12600","0.12906","-0.02410"
"0.12700","0.13038","-0.02423"
"0.12800","0.13169","-0.02414"
"0.12900","0.13299","-0.02375"
"0.13000","0.13430","-0.02306"
"0.13100","0.13560","-0.02214"
"0.13200","0.13690","-0.02104"
"0.13300","0.13820","-0.01982"
"0.13400","0.13949","-0.01859"
"0.13500","0.14079","-0.01746"
"0.13600","0.14208","-0.01652"
"0.13700","0.14337","-0.01584"
"0.13800","0.14466","-0.01539"
"0.13900","0.14595","-0.01498"
"0.14000","0.14724","-0.01442"
"0.14100","0.14852","-0.01363"
"0.14200","0.14981","-0.01260"
"0.14300","0.15109","-0.01144"
"0.14400","0.15238","-0.01039"
"0.14500","0.15366","-0.00967"
"0.14600","0.15494","-0.00944"
"0.14700","0.15622","-0.00967"
"0.14800","0.15750","-0.01029"
"0.14900","0.15878","-0.01121"
"0.15000","0.16006","-0.01232"
"0.15100","0.16134","-0.01343"
"0.15200","0.16262","-0.01438"
"0.15300","0.16389","-0.01505"
"0.15400","0.16517","-0.01540"
"0.15500","0.16645","-0.01541"
"0.15600","0.16772","-0.01518"
"0.15700","0.16900","-0.01494"
"0.15800","0.17027","-0.01493"
"0.15900","0.17154","-0.01525"
"0.16000","0.17281","-0.01584"
"0.16100","0.17409","-0.01663"
"0.16200","0.17536","-0.01748"
"0.16300","0.17663","-0.01824"
"0.16400","0.17790","-0.01874"
"0.16500","0.17917","-0.01880"
"0.16600","0.18044","-0.01842"
"0.16700","0.18171","-0.01767"
"0.16800","0.18298","-0.01684"
"0.16900","0.18425","-0.01621"
"0.17000","0.18553","-0.01598"
"0.17100","0.18680","-0.01615"
"0.17200","0.18807","-0.01667"
"0.17300","0.18934","-0.01744"
"0.17400","0.19061","-0.01832"
"0.17500","0.19188","-0.01909"
"0.17600","0.19315","-0.01958"
"0.17700","0.19442","-0.01971"
"0.17800","0.19569","-0.01945"
"0.17900","0.19696","-0.01880"
"0.18000","0.19823","-0.01788"
"0.18100","0.19950","-0.01694"
"0.18200","0.20077","-0.01623"
"0.18300","0.20204","-0.01589"
"0.18400","0.20331","-0.01593"
"0.18500","0.20458","-0.01630"
"0.18600","0.20585","-0.01686"
"0.18700","0.20712","-0.01742"
"0.18800","0.20839","-0.01784"
"0.18900","0.20966","-0.01802"
"0.19000","0.21093","-0.01787"
"0.19100","0.21220","-0.01739"
"0.19200","0.21346","-0.01673"
"0.19300","0.21473","-0.01614"
"0.19400","0.21600","-0.01588"
"0.19500","0.21727","-0.01605"
"0.19600","0.21853","-0.01662"
"0.19700","0.21980","-0.01736"
"0.19800","0.22107","-0.01807"
"0.19900","0.22234","-0.01867"
"0.20000","0.22360","-0.01922"
"0.20100","0.22487","-0.01973"
"0.20200","0.22614","-0.02007"
"0.20300","0.22741","-0.02018"
"0.20400","0.22867","-0.02017"
"0.20500","0.22994","-0.02021"
"0.20600","0.23121","-0.02038"
"0.20700","0.23247","-0.02076"
"0.20800","0.23374","-0.02146"
"0.20900","0.23500","-0.02249"
"0.21000","0.23627","-0.02367"
"0.21100","0.23754","-0.02480"
"0.21200","0.23880","-0.02574"
"0.21300","0.24007","-0.02638"
"0.21400","0.24133","-0.02663"
"0.21500","0.24259","-0.02648"
"0.21600","0.24386","-0.02605"
"0.21700","0.24512","-0.02551"
"0.21800","0.24638","-0.02491"
"0.21900","0.24764","-0.02431"
"0.22000","0.24891","-0.02384"
"0.22100","0.25017","-0.02356"
"0.22200","0.25143","-0.02338"
"0.22300","0.25269","-0.02318"
"0.22400","0.25395","-0.02285"
"0.22500","0.25521","-0.02226"
"0.22600","0.25648","-0.02136"
"0.22700","0.25774","-0.02013"
"0.22800","0.25900","-0.01863"
"0.22900","0.26026","-0.01698"
"0.23000","0.26152","-0.01532"
"0.23100","0.26278","-0.01390"
"0.23200","0.26404","-0.01299"
"0.23300","0.26530","-0.01258"
"0.23400","0.26657","-0.01243"
"0.23500","0.26783","-0.01236"
"0.23600","0.26909","-0.01236"
"0.23700","0.27035","-0.01239"
"0.23800","0.27161","-0.01222"
"0.23900","0.27287","-0.01162"
"0.24000","0.27413","-0.01067"
"0.24100","0.27539","-0.00964"
"0.24200","0.27665","-0.00881"
"0.24300","0.27791","-0.00830"
"0.24400","0.27917","-0.00814"
"0.24500","0.28043","-0.00829"
"0.24600","0.28169","-0.00863"
