Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"0.17500","0.19188","-0.02230"
"0.17600","0.19315","-0.02125"
"0.17700","0.19442","-0.02016"
"0.17800","0.19569","-0.01925"
"0.17900","0.19697","-0.01865"
"0.18000","0.19824","-0.01840"
"0.18100","0.19951","-0.01843"
"0.18200","0.20078","-0.01861"
"0.18300","0.20205","-0.01882"
"0.18400","0.20332","-0.01891"
"0.18500","0.20459","-0.01876"
"0.18600","0.20587","-0.01832"
"0.18700","0.20714","-0.01762"
"0.18800","0.20841","-0.01671"
"0.18900","0.20967","-0.01568"
"0.19000","0.21094","-0.01461"
"0.19100","0.21221","-0.01368"
"0.19200","0.21348","-0.01309"
"0.19300","0.21475","-0.01297"
"0.19400","0.21602","-0.01324"
"0.19500","0.21729","-0.01369"
"0.19600","0.21855","-0.01406"
"0.19700","0.21982","-0.01413"
"0.19800","0.22109","-0.01374"
"0.19900","0.22236","-0.01298"
"0.20000","0.22363","-0.01212"
"0.20100","0.22489","-0.01145"
"0.20200","0.22616","-0.01110"
"0.20300","0.22743","-0.01108"
"0.20400","0.22869","-0.01143"
"0.20500","0.22996","-0.01220"
"0.20600","0.23123","-0.01329"
"0.20700","0.23249","-0.01452"
"0.20800","0.23376","-0.01575"
"0.20900","0.23503","-0.01682"
"0.21000","0.23629","-0.01753"
"0.21100","0.23756","-0.01776"
"0.21200","0.23882","-0.01756"
"0.21300","0.24009","-0.01706"
"0.21400","0.24135","-0.01642"
"0.21500","0.24261","-0.01582"
"0.21600","0.24388","-0.01545"
"0.21700","0.24514","-0.01540"
"0.21800","0.24640","-0.01551"
"0.21900","0.24766","-0.01552"
"0.22000","0.24893","-0.01530"
"0.22100","0.25019","-0.01484"
"0.22200","0.25145","-0.01415"
"0.22300","0.25271","-0.01319"
"0.22400","0.25397","-0.01210"
"0.22500","0.25523","-0.01102"
"0.22600","0.25649","-0.01010"
"0.22700","0.25775","-0.00941"
"0.22800","0.25902","-0.00908"
"0.22900","0.26028","-0.00908"
"0.23000","0.26154","-0.00916"
"0.23100","0.26280","-0.00917"
"0.23200","0.26406","-0.00918"
"0.23300","0.26532","-0.00927"
"0.23400","0.26658","-0.00927"
"0.23500","0.26784","-0.00901"
"0.23600","0.26910","-0.00852"
"0.23700","0.27037","-0.00806"
"0.23800","0.27163","-0.00779"
"0.23900","0.27289","-0.00770"
"0.24000","0.27415","-0.00775"
"0.24100","0.27541","-0.00805"
"0.24200","0.27667","-0.00868"
"0.24300","0.27793","-0.00951"
"0.24400","0.27919","-0.01039"
"0.24500","0.28045","-0.01124"
"0.24600","0.28170","-0.01194"
"0.24700","0.28296","-0.01237"
"0.24800","0.28422","-0.01253"
"0.24900","0.28548","-0.01246"
"0.25000","0.28673","-0.01227"
"0.25100","0.28799","-0.01211"
"0.25200","0.28925","-0.01215"
"0.25300","0.29050","-0.01248"
"0.25400","0.29176","-0.01310"
"0.25500","0.29301","-0.01390"
"0.25600","0.29426","-0.01472"
"0.25700","0.29552","-0.01546"
"0.25800","0.29677","-0.01603"
"0.25900","0.29802","-0.01632"
"0.26000","0.29928","-0.01622"
"0.26100","0.30053","-0.01569"
"0.26200","0.30178","-0.01489"
"0.26300","0.30303","-0.01418"
"0.26400","0.30428","-0.01388"
"0.26500","0.30553","-0.01400"
"0.26600","0.30679","-0.01439"
"0.26700","0.30804","-0.01493"
"0.26800","0.30929","-0.01555"
"0.26900","0.31054","-0.01607"
"0.27000","0.31179","-0.01625"
"0.27100","0.31304","-0.01603"
"0.27200","0.31429","-0.01542"
"0.27300","0.31554","-0.01453"
"0.27400","0.31679","-0.01350"
"0.27500","0.31804","-0.01253"
"0.27600","0.31928","-0.01184"
"0.27700","0.32053","-0.01156"
"0.27800","0.32178","-0.01168"
"0.27900","0.32303","-0.01207"
"0.28000","0.32428","-0.01254"
"0.28100","0.32553","-0.01283"
"0.28200","0.32677","-0.01276"
"0.28300","0.32802","-0.01231"
"0.28400","0.32927","-0.01161"
"0.28500","0.33052","-0.01078"
"0.28600","0.33176","-0.00998"
"0.28700","0.33301","-0.00936"
"0.28800","0.33426","-0.00909"
"0.28900","0.33551","-0.00923"
"0.29000","0.33675","-0.00974"
"0.29100","0.33800","-0.01055"
"0.29200","0.33925","-0.01155"
"0.29300","0.34050","-0.01251"
"0.29400","0.34174","-0.01315"
"0.29500","0.34299","-0.01329"
"0.29600","0.34424","-0.01311"
"0.29700","0.34549","-0.01281"
"0.29800","0.34674","-0.01254"
"0.29900","0.34799","-0.01238"
"0.30000","0.34924","-0.01245"
"0.30100","0.35048","-0.01283"
"0.30200","0.35173","-0.01349"
"0.30300","0.35298","-0.01434"
"0.30400","0.35423","-0.01532"
"0.30500","0.35548","-0.01627"
"0.30600","0.35673","-0.01702"
"0.30700","0.35798","-0.01740"
"0.30800","0.35923","-0.01745"
"0.30900","0.36048","-0.01728"
"0.31000","0.36173","-0.01699"
"0.31100","0.36299","-0.01661"
"0.31200","0.36424","-0.01631"
"0.31300","0.36549","-0.01628"
"0.31400","0.36674","-0.01658"
"0.31500","0.36799","-0.01707"
"0.31600","0.36924","-0.01753"
"0.31700","0.37049","-0.01779"
"0.31800","0.37174","-0.01772"
"0.31900","0.37299","-0.01721"
"0.32000","0.37424","-0.01625"
"0.32100","0.37549","-0.01501"
"0.32200","0.37674","-0.01366"
"0.32300","0.37799","-0.01236"
"0.32400","0.37924","-0.01124"
"0.32500","0.38049","-0.01034"
"0.32600","0.38174","-0.00962"
"0.32700","0.38299","-0.00908"
"0.32800","0.38425","-0.00875"
"0.32900","0.38550","-0.00858"
"0.33000","0.38675","-0.00836"
"0.33100","0.38800","-0.00787"
"0.33200","0.38925","-0.00711"
"0.33300","0.39050","-0.00622"
"0.33400","0.39176","-0.00540"
"0.33500","0.39301","-0.00475"
"0.33600","0.39426","-0.00440"
"0.33700","0.39551","-0.00447"
