Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"7.57700","9.44568","1.26922"
"7.57800","9.44694","1.26869"
"7.57900","9.44819","1.26862"
"7.58000","9.44944","1.26948"
"7.58100","9.45070","1.27055"
"7.58200","9.45195","1.27119"
"7.58300","9.45320","1.27159"
"7.58400","9.45445","1.27185"
"7.58500","9.45571","1.27166"
"7.58600","9.45696","1.27127"
"7.58700","9.45821","1.27136"
"7.58800","9.45947","1.27191"
"7.58900","9.46072","1.27250"
"7.59000","9.46197","1.27321"
"7.59100","9.46322","1.27439"
"7.59200","9.46448","1.27592"
"7.59300","9.46573","1.27729"
"7.59400","9.46698","1.27822"
"7.59500","9.46824","1.27897"
"7.59600","9.46949","1.27965"
"7.59700","9.47074","1.28005"
"7.59800","9.47200","1.28007"
"7.59900","9.47325","1.28003"
"7.60000","9.47451","1.28010"
"7.60100","9.47576","1.28018"
"7.60200","9.47701","1.28040"
"7.60300","9.47827","1.28109"
"7.60400","9.47952","1.28209"
"7.60500","9.48077","1.28279"
"7.60600","9.48202","1.28289"
"7.60700","9.48328","1.28251"
"7.60800","9.48453","1.28186"
"7.60900","9.48578","1.28105"
"7.61000","9.48703","1.28011"
"7.61100","9.48828","1.27905"
"7.61200","9.48953","1.27795"
"7.61300","9.49078","1.27694"
"7.61400","9.49202","1.27621"
"7.61500","9.49327","1.27583"
"7.61600","9.49452","1.27570"
"7.61700","9.49576","1.27565"
"7.61800","9.49701","1.27561"
"7.61900","9.49825","1.27558"
"7.62000","9.49949","1.27556"
"7.62100","9.50074","1.27567"
"7.62200","9.50198","1.27604"
"7.62300","9.50323","1.27658"
"7.62400","9.50447","1.27710"
"7.62500","9.50571","1.27768"
"7.62600","9.50695","1.27845"
"7.62700","9.50820","1.27938"
"7.62800","9.50944","1.28045"
"7.62900","9.51068","1.28171"
"7.63000","9.51193","1.28302"
"7.63100","9.51317","1.28399"
"7.63200","9.51442","1.28436"
"7.63300","9.51566","1.28429"
"7.63400","9.51690","1.28409"
"7.63500","9.51815","1.28385"
"7.63600","9.51939","1.28369"
"7.63700","9.52064","1.28392"
"7.63800","9.52188","1.28464"
"7.63900","9.52313","1.28552"
"7.64000","9.52437","1.28626"
"7.64100","9.52562","1.28703"
"7.64200","9.52687","1.28797"
"7.64300","9.52811","1.28867"
"7.64400","9.52936","1.28869"
"7.64500","9.53060","1.28823"
"7.64600","9.53185","1.28787"
"7.64700","9.53309","1.28761"
"7.64800","9.53434","1.28707"
"7.64900","9.53559","1.28658"
"7.65000","9.53683","1.28685"
"7.65100","9.53808","1.28788"
"7.65200","9.53933","1.28901"
"7.65300","9.54057","1.28991"
"7.65400","9.54182","1.29085"
"7.65500","9.54307","1.29186"
"7.65600","9.54432","1.29245"
"7.65700","9.54557","1.29242"
"7.65800","9.54682","1.29218"
"7.65900","9.54806","1.29207"
"7.66000","9.54931","1.29193"
"7.66100","9.55056","1.29172"
"7.66200","9.55182","1.29173"
"7.66300","9.55307","1.29203"
"7.66400","9.55432","1.29250"
"7.66500","9.55557","1.29314"
"7.66600","9.55682","1.29398"
"7.66700","9.55807","1.29477"
"7.66800","9.55932","1.29508"
"7.66900","9.56057","1.29488"
"7.67000","9.56183","1.29451"
"7.67100","9.56308","1.29408"
"7.67200","9.56433","1.29346"
"7.67300","9.56558","1.29278"
"7.67400","9.56684","1.29245"
"7.67500","9.56809","1.29251"
"7.67600","9.56934","1.29255"
"7.67700","9.57059","1.29254"
"7.67800","9.57185","1.29265"
"7.67900","9.57310","1.29258"
"7.68000","9.57435","1.29205"
"7.68100","9.57560","1.29144"
"7.68200","9.57685","1.29108"
"7.68300","9.57810","1.29062"
"7.68400","9.57935","1.28963"
"7.68500","9.58060","1.28852"
"7.68600","9.58186","1.28823"
"7.68700","9.58311","1.28897"
"7.68800","9.58436","1.29001"
"7.68900","9.58561","1.29087"
"7.69000","9.58686","1.29185"
"7.69100","9.58811","1.29309"
"7.69200","9.58936","1.29411"
"7.69300","9.59061","1.29473"
"7.69400","9.59187","1.29524"
"7.69500","9.59312","1.29567"
"7.69600","9.59437","1.29579"
"7.69700","9.59562","1.29575"
"7.69800","9.59687","1.29601"
"7.69900","9.59812","1.29665"
"7.70000","9.59937","1.29740"
"7.70100","9.60062","1.29818"
"7.70200","9.60187","1.29916"
"7.70300","9.60312","1.30018"
"7.70400","9.60438","1.30074"
"7.70500","9.60563","1.30068"
"7.70600","9.60688","1.30044"
"7.70700","9.60813","1.30031"
"7.70800","9.60938","1.30010"
"7.70900","9.61063","1.29978"
"7.71000","9.61188","1.29988"
"7.71100","9.61313","1.30066"
"7.71200","9.61439","1.30171"
"7.71300","9.61564","1.30259"
"7.71400","9.61689","1.30327"
"7.71500","9.61814","1.30384"
"7.71600","9.61939","1.30426"
"7.71700","9.62064","1.30436"
"7.71800","9.62189","1.30412"
"7.71900","9.62315","1.30371"
"7.72000","9.62440","1.30351"
"7.72100","9.62565","1.30374"
"7.72200","9.62690","1.30429"
"7.72300","9.62815","1.30495"
"7.72400","9.62940","1.30572"
"7.72500","9.63066","1.30677"
"7.72600","9.63191","1.30810"
"7.72700","9.63316","1.30935"
"7.72800","9.63441","1.31020"
"7.72900","9.63567","1.31068"
"7.73000","9.63692","1.31096"
"7.73100","9.63817","1.31100"
"7.73200","9.63943","1.31079"
"7.73300","9.64068","1.31051"
"7.73400","9.64193","1.31039"
"7.73500","9.64319","1.31048"
"7.73600","9.64444","1.31070"
"7.73700","9.64569","1.31110"
"7.73800","9.64694","1.31173"
"7.73900","9.64820","1.31243"
"7.74000","9.64945","1.31287"
"7.74100","9.65070","1.31293"
"7.74200","9.65196","1.31266"
"7.74300","9.65321","1.31198"
"7.74400","9.65446","1.31103"
"7.74500","9.65571","1.31032"
"7.74600","9.65697","1.31017"
"7.74700","9.65822","1.31033"
"7.74800","9.65947","1.31045"
"7.74900","9.66072","1.31059"
"7.75000","9.66197","1.31100"
"7.75100","9.66323","1.31153"
"7.75200","9.66448","1.31181"
"7.75300","9.66573","1.31186"
"7.75400","9.66698","1.31190"
"7.75500","9.66823","1.31194"
"7.75600","9.66948","1.31187"
"7.75700","9.67073","1.31201"
"7.75800","9.67198","1.31288"
"7.75900","9.67323","1.31421"
"7.76000","9.67448","1.31519"
"7.76100","9.67573","1.31573"
"7.76200","9.67698","1.31648"
"7.76300","9.67823","1.31758"
"7.76400","9.67948","1.31850"
"7.76500","9.68073","1.31891"
"7.76600","9.68197","1.31906"
"7.76700","9.68322","1.31930"
"7.76800","9.68447","1.31959"
"7.76900","9.68572","1.31973"
"7.77000","9.68696","1.31986"
"7.77100","9.68821","1.32025"
"7.77200","9.68946","1.32091"
"7.77300","9.69071","1.32171"
"7.77400","9.69195","1.32266"
"7.77500","9.69320","1.32363"
"7.77600","9.69445","1.32415"
"7.77700","9.69569","1.32393"
"7.77800","9.69694","1.32328"
"7.77900","9.69819","1.32265"
"7.78000","9.69943","1.32199"
"7.78100","9.70068","1.32112"
"7.78200","9.70192","1.32034"
"7.78300","9.70317","1.32015"
"7.78400","9.70441","1.32068"
"7.78500","9.70566","1.32173"
"7.78600","9.70690","1.32300"
"7.78700","9.70815","1.32430"
"7.78800","9.70939","1.32544"
"7.78900","9.71063","1.32624"
"7.79000","9.71188","1.32680"
"7.79100","9.71312","1.32735"
"7.79200","9.71437","1.32795"
"7.79300","9.71561","1.32848"
"7.79400","9.71686","1.32905"
"7.79500","9.71810","1.32990"
"7.79600","9.71935","1.33114"
"7.79700","9.72059","1.33261"
"7.79800","9.72184","1.33401"
"7.79900","9.72308","1.33515"
"7.80000","9.72433","1.33599"
"7.80100","9.72558","1.33640"
"7.80200","9.72682","1.33631"
"7.80300","9.72807","1.33579"
"7.80400","9.72932","1.33503"
"7.80500","9.73057","1.33429"
"7.80600","9.73181","1.33382"
"7.80700","9.73306","1.33373"
"7.80800","9.73431","1.33387"
"7.80900","9.73556","1.33410"
"7.81000","9.73681","1.33443"
"7.81100","9.73805","1.33493"
"7.81200","9.73930","1.33545"
"7.81300","9.74055","1.33570"
"7.81400","9.74180","1.33548"
"7.81500","9.74305","1.33490"
"7.81600","9.74430","1.33417"
"7.81700","9.74554","1.33347"
"7.81800","9.74679","1.33292"
"7.81900","9.74804","1.33266"
"7.82000","9.74929","1.33288"
"7.82100","9.75054","1.33367"
"7.82200","9.75179","1.33487"
"7.82300","9.75304","1.33623"
"7.82400","9.75429","1.33748"
"7.82500","9.75554","1.33833"
"7.82600","9.75679","1.33875"
"7.82700","9.75804","1.33883"
"7.82800","9.75929","1.33864"
"7.82900","9.76054","1.33832"
"7.83000","9.76179","1.33820"
"7.83100","9.76304","1.33858"
"7.83200","9.76429","1.33946"
"7.83300","9.76555","1.34054"
"7.83400","9.76680","1.34150"
"7.83500","9.76805","1.34219"
"7.83600","9.76930","1.34256"
"7.83700","9.77056","1.34264"
"7.83800","9.77181","1.34251"
"7.83900","9.77306","1.34211"
"7.84000","9.77432","1.34125"
"7.84100","9.77557","1.33993"
"7.84200","9.77682","1.33853"
"7.84300","9.77807","1.33753"
"7.84400","9.77933","1.33710"
"7.84500","9.78058","1.33705"
"7.84600","9.78183","1.33721"
"7.84700","9.78308","1.33752"
"7.84800","9.78433","1.33776"
"7.84900","9.78559","1.33754"
"7.85000","9.78684","1.33689"
"7.85100","9.78809","1.33626"
"7.85200","9.78934","1.33580"
"7.85300","9.79059","1.33536"
"7.85400","9.79184","1.33505"
"7.85500","9.79310","1.33531"
"7.85600","9.79435","1.33623"
"7.85700","9.79560","1.33744"
"7.85800","9.79685","1.33862"
"7.85900","9.79811","1.33986"
"7.86000","9.79936","1.34118"
"7.86100","9.80061","1.34233"
"7.86200","9.80186","1.34307"
"7.86300","9.80312","1.34345"
"7.86400","9.80437","1.34365"
"7.86500","9.80562","1.34367"
"7.86600","9.80688","1.34351"
"7.86700","9.80813","1.34347"
"7.86800","9.80939","1.34392"
"7.86900","9.81064","1.34495"
"7.87000","9.81189","1.34635"
"7.87100","9.81315","1.34782"
"7.87200","9.81440","1.34903"
"7.87300","9.81565","1.34983"
"7.87400","9.81691","1.35035"
"7.87500","9.81816","1.35063"
"7.87600","9.81941","1.35046"
"7.87700","9.82066","1.34980"
"7.87800","9.82192","1.34910"
"7.87900","9.82317","1.34885"
"7.88000","9.82442","1.34911"
"7.88100","9.82568","1.34954"
"7.88200","9.82693","1.34987"
"7.88300","9.82818","1.35021"
"7.88400","9.82943","1.35050"
"7.88500","9.83068","1.35041"
"7.88600","9.83194","1.35007"
"7.88700","9.83319","1.35018"
"7.88800","9.83444","1.35075"
"7.88900","9.83569","1.35100"
"7.89000","9.83695","1.35068"
"7.89100","9.83820","1.35047"
"7.89200","9.83945","1.35097"
"7.89300","9.84070","1.35195"
"7.89400","9.84196","1.35293"
"7.89500","9.84321","1.35390"
"7.89600","9.84446","1.35503"
"7.89700","9.84571","1.35606"
"7.89800","9.84696","1.35652"
"7.89900","9.84822","1.35649"
"7.90000","9.84947","1.35630"
"7.90100","9.85072","1.35595"
"7.90200","9.85197","1.35537"
"7.90300","9.85322","1.35481"
"7.90400","9.85447","1.35460"
"7.90500","9.85572","1.35481"
"7.90600","9.85697","1.35547"
"7.90700","9.85822","1.35646"
"7.90800","9.85947","1.35741"
"7.90900","9.86072","1.35796"
"7.91000","9.86197","1.35815"
"7.91100","9.86322","1.35816"
"7.91200","9.86447","1.35800"
"7.91300","9.86572","1.35750"
"7.91400","9.86696","1.35669"
"7.91500","9.86821","1.35586"
"7.91600","9.86946","1.35517"
"7.91700","9.87071","1.35461"
"7.91800","9.87196","1.35453"
"7.91900","9.87320","1.35536"
"7.92000","9.87445","1.35678"
"7.92100","9.87570","1.35784"
"7.92200","9.87695","1.35811"
"7.92300","9.87819","1.35800"
"7.92400","9.87944","1.35790"
"7.92500","9.88069","1.35773"
"7.92600","9.88194","1.35743"
"7.92700","9.88318","1.35726"
"7.92800","9.88443","1.35743"
"7.92900","9.88568","1.35778"
"7.93000","9.88692","1.35817"
"7.93100","9.88817","1.35867"
"7.93200","9.88941","1.35928"
"7.93300","9.89066","1.35966"
"7.93400","9.89190","1.35962"
"7.93500","9.89315","1.35948"
"7.93600","9.89439","1.35936"
"7.93700","9.89564","1.35893"
"7.93800","9.89688","1.35809"
"7.93900","9.89813","1.35735"
"7.94000","9.89937","1.35713"
"7.94100","9.90062","1.35730"
"7.94200","9.90186","1.35791"
"7.94300","9.90311","1.35993"
"7.94400","9.90435","1.36432"
"7.94500","9.90560","1.36938"
"7.94600","9.90684","1.37163"
"7.94700","9.90809","1.37001"
"7.94800","9.90933","1.36700"
"7.94900","9.91057","1.36518"
"7.95000","9.91182","1.36481"
"7.95100","9.91306","1.36476"
"7.95200","9.91431","1.36445"
"7.95300","9.91555","1.36416"
"7.95400","9.91680","1.36414"
"7.95500","9.91804","1.36449"
"7.95600","9.91929","1.36547"
"7.95700","9.92053","1.36702"
"7.95800","9.92178","1.36823"
"7.95900","9.92303","1.36835"
"7.96000","9.92427","1.36792"
"7.96100","9.92552","1.36772"
"7.96200","9.92677","1.36741"
"7.96300","9.92802","1.36653"
"7.96400","9.92927","1.36558"
"7.96500","9.93052","1.36519"
"7.96600","9.93177","1.36519"
"7.96700","9.93303","1.36512"
"7.96800","9.93428","1.36510"
"7.96900","9.93553","1.36546"
"7.97000","9.93679","1.36592"
"7.97100","9.93804","1.36586"
"7.97200","9.93930","1.36534"
"7.97300","9.94055","1.36483"
"7.97400","9.94181","1.36429"
"7.97500","9.94306","1.36331"
"7.97600","9.94432","1.36226"
"7.97700","9.94558","1.36203"
"7.97800","9.94683","1.36272"
"7.97900","9.94809","1.36370"
"7.98000","9.94935","1.36459"
"7.98100","9.95060","1.36543"
"7.98200","9.95186","1.36616"
"7.98300","9.95312","1.36658"
"7.98400","9.95437","1.36671"
"7.98500","9.95563","1.36675"
"7.98600","9.95688","1.36678"
"7.98700","9.95814","1.36673"
"7.98800","9.95939","1.36676"
"7.98900","9.96065","1.36739"
"7.99000","9.96190","1.36885"
"7.99100","9.96315","1.37078"
"7.99200","9.96441","1.37273"
"7.99300","9.96566","1.37466"
"7.99400","9.96692","1.37650"
"7.99500","9.96817","1.37799"
"7.99600","9.96942","1.37900"
"7.99700","9.97068","1.37949"
"7.99800","9.97193","1.37958"
"7.99900","9.97318","1.37957"
"8.00000","9.97444","1.37974"
"8.00100","9.97569","1.38012"
"8.00200","9.97694","1.38064"
"8.00300","9.97820","1.38134"
"8.00400","9.97945","1.38224"
"8.00500","9.98070","1.38318"
"8.00600","9.98196","1.38384"
"8.00700","9.98321","1.38410"
"8.00800","9.98446","1.38404"
"8.00900","9.98571","1.38379"
"8.01000","9.98697","1.38335"
"8.01100","9.98822","1.38281"
"8.01200","9.98947","1.38237"
"8.01300","9.99072","1.38202"
"8.01400","9.99197","1.38159"
"8.01500","9.99322","1.38127"
"8.01600","9.99448","1.38146"
"8.01700","9.99573","1.38212"
"8.01800","9.99698","1.38274"
"8.01900","9.99823","1.38288"
"8.02000","9.99948","1.38246"
"8.02100","10.00073","1.38162"
"8.02200","10.00198","1.38059"
"8.02300","10.00323","1.37967"
"8.02400","10.00448","1.37902"
"8.02500","10.00573","1.37846"
"8.02600","10.00699","1.37785"
"8.02700","10.00824","1.37739"
"8.02800","10.00949","1.37734"
"8.02900","10.01074","1.37753"
"8.03000","10.01200","1.37756"
"8.03100","10.01325","1.37736"
"8.03200","10.01451","1.37697"
"8.03300","10.01576","1.37612"
"8.03400","10.01701","1.37463"
"8.03500","10.01827","1.37301"
"8.03600","10.01952","1.37199"
"8.03700","10.02078","1.37162"
"8.03800","10.02203","1.37145"
"8.03900","10.02329","1.37141"
"8.04000","10.02454","1.37175"
"8.04100","10.02580","1.37234"
"8.04200","10.02705","1.37271"
"8.04300","10.02831","1.37281"
"8.04400","10.02956","1.37312"
"8.04500","10.03081","1.37366"
"8.04600","10.03207","1.37385"
"8.04700","10.03332","1.37355"
"8.04800","10.03457","1.37341"
"8.04900","10.03582","1.37396"
"8.05000","10.03707","1.37503"
"8.05100","10.03832","1.37628"
"8.05200","10.03957","1.37770"
"8.05300","10.04082","1.37941"
"8.05400","10.04207","1.38122"
"8.05500","10.04331","1.38278"
"8.05600","10.04456","1.38413"
"8.05700","10.04581","1.38544"
"8.05800","10.04706","1.38664"
"8.05900","10.04830","1.38761"
"8.06000","10.04955","1.38860"
"8.06100","10.05079","1.38989"
"8.06200","10.05204","1.39147"
"8.06300","10.05328","1.39317"
"8.06400","10.05453","1.39497"
"8.06500","10.05577","1.39683"
"8.06600","10.05702","1.39853"
"8.06700","10.05826","1.39983"
"8.06800","10.05951","1.40066"
"8.06900","10.06075","1.40106"
"8.07000","10.06200","1.40101"
"8.07100","10.06324","1.40063"
"8.07200","10.06448","1.40030"
"8.07300","10.06573","1.40024"
"8.07400","10.06697","1.40036"
"8.07500","10.06822","1.40048"
"8.07600","10.06946","1.40067"
"8.07700","10.07071","1.40098"
"8.07800","10.07195","1.40119"
"8.07900","10.07319","1.40105"
"8.08000","10.07444","1.40052"
"8.08100","10.07568","1.39990"
"8.08200","10.07692","1.39948"
"8.08300","10.07817","1.39917"
"8.08400","10.07941","1.39877"
"8.08500","10.08065","1.39840"
"8.08600","10.08189","1.39845"
"8.08700","10.08314","1.39916"
"8.08800","10.08438","1.40030"
"8.08900","10.08562","1.40145"
"8.09000","10.08687","1.40237"
"8.09100","10.08811","1.40313"
"8.09200","10.08935","1.40380"
"8.09300","10.09060","1.40429"
"8.09400","10.09184","1.40455"
"8.09500","10.09309","1.40471"
"8.09600","10.09433","1.40488"
"8.09700","10.09557","1.40518"
"8.09800","10.09682","1.40564"
"8.09900","10.09806","1.40626"
"8.10000","10.09931","1.40696"
"8.10100","10.10055","1.40771"
"8.10200","10.10180","1.40841"
"8.10300","10.10304","1.40891"
"8.10400","10.10429","1.40910"
"8.10500","10.10553","1.40892"
"8.10600","10.10678","1.40841"
"8.10700","10.10802","1.40770"
"8.10800","10.10927","1.40689"
"8.10900","10.11052","1.40600"
"8.11000","10.11176","1.40542"
"8.11100","10.11301","1.40559"
"8.11200","10.11425","1.40633"
"8.11300","10.11550","1.40699"
"8.11400","10.11675","1.40722"
"8.11500","10.11800","1.40720"
"8.11600","10.11924","1.40706"
"8.11700","10.12049","1.40669"
"8.11800","10.12174","1.40599"
"8.11900","10.12299","1.40525"
"8.12000","10.12424","1.40479"
"8.12100","10.12549","1.40464"
"8.12200","10.12673","1.40475"
"8.12300","10.12799","1.40528"
"8.12400","10.12923","1.40627"
"8.12500","10.13048","1.40749"
"8.12600","10.13173","1.40873"
"8.12700","10.13298","1.40997"
"8.12800","10.13423","1.41109"
"8.12900","10.13548","1.41183"
"8.13000","10.13673","1.41218"
"8.13100","10.13798","1.41240"
"8.13200","10.13924","1.41273"
"8.13300","10.14049","1.41316"
"8.13400","10.14174","1.41369"
"8.13500","10.14299","1.41450"
"8.13600","10.14424","1.41568"
"8.13700","10.14549","1.41700"
"8.13800","10.14675","1.41816"
"8.13900","10.14800","1.41921"
"8.14000","10.14925","1.42027"
"8.14100","10.15051","1.42108"
"8.14200","10.15176","1.42131"
"8.14300","10.15302","1.42108"
"8.14400","10.15427","1.42071"
"8.14500","10.15552","1.42035"
"8.14600","10.15678","1.42012"
"8.14700","10.15803","1.42045"
"8.14800","10.15928","1.42152"
"8.14900","10.16054","1.42290"
"8.15000","10.16179","1.42398"
"8.15100","10.16305","1.42467"
"8.15200","10.16430","1.42530"
"8.15300","10.16555","1.42601"
"8.15400","10.16681","1.42654"
"8.15500","10.16806","1.42677"
"8.15600","10.16931","1.42698"
"8.15700","10.17056","1.42740"
"8.15800","10.17182","1.42806"
"8.15900","10.17307","1.42898"
"8.16000","10.17432","1.43021"
"8.16100","10.17558","1.43169"
"8.16200","10.17683","1.43314"
"8.16300","10.17808","1.43426"
"8.16400","10.17934","1.43482"
"8.16500","10.18059","1.43476"
"8.16600","10.18184","1.43415"
"8.16700","10.18310","1.43316"
"8.16800","10.18435","1.43191"
"8.16900","10.18561","1.43055"
"8.17000","10.18686","1.42926"
"8.17100","10.18812","1.42823"
"8.17200","10.18938","1.42749"
"8.17300","10.19063","1.42690"
"8.17400","10.19189","1.42625"
"8.17500","10.19314","1.42545"
"8.17600","10.19440","1.42456"
"8.17700","10.19566","1.42359"
"8.17800","10.19691","1.42242"
"8.17900","10.19817","1.42103"
"8.18000","10.19943","1.41958"
"8.18100","10.20068","1.41832"
"8.18200","10.20194","1.41740"
"8.18300","10.20320","1.41699"
"8.18400","10.20445","1.41722"
"8.18500","10.20571","1.41801"
"8.18600","10.20696","1.41903"
"8.18700","10.20822","1.41997"
"8.18800","10.20947","1.42079"
"8.18900","10.21073","1.42158"
"8.19000","10.21198","1.42231"
"8.19100","10.21323","1.42288"
"8.19200","10.21449","1.42336"
"8.19300","10.21574","1.42398"
"8.19400","10.21699","1.42483"
"8.19500","10.21824","1.42583"
"8.19600","10.21950","1.42695"
"8.19700","10.22075","1.42833"
"8.19800","10.22200","1.42998"
"8.19900","10.22325","1.43166"
"8.20000","10.22450","1.43305"
"8.20100","10.22575","1.43403"
"8.20200","10.22701","1.43464"
"8.20300","10.22826","1.43493"
"8.20400","10.22951","1.43495"
"8.20500","10.23076","1.43475"
"8.20600","10.23201","1.43453"
"8.20700","10.23326","1.43442"
"8.20800","10.23451","1.43438"
"8.20900","10.23576","1.43431"
"8.21000","10.23701","1.43421"
"8.21100","10.23826","1.43416"
"8.21200","10.23951","1.43415"
"8.21300","10.24076","1.43396"
"8.21400","10.24201","1.43332"
"8.21500","10.24325","1.43225"
"8.21600","10.24450","1.43107"
"8.21700","10.24575","1.43014"
"8.21800","10.24699","1.42965"
"8.21900","10.24824","1.42960"
"8.22000","10.24949","1.42991"
"8.22100","10.25073","1.43052"
"8.22200","10.25198","1.43129"
"8.22300","10.25322","1.43209"
"8.22400","10.25447","1.43283"
"8.22500","10.25571","1.43341"
"8.22600","10.25696","1.43369"
"8.22700","10.25820","1.43373"
"8.22800","10.25945","1.43375"
"8.22900","10.26070","1.43381"
"8.23000","10.26194","1.43388"
"8.23100","10.26319","1.43398"
"8.23200","10.26443","1.43431"
"8.23300","10.26568","1.43494"
"8.23400","10.26693","1.43576"
"8.23500","10.26817","1.43666"
"8.23600","10.26942","1.43752"
"8.23700","10.27066","1.43821"
"8.23800","10.27191","1.43852"
"8.23900","10.27316","1.43846"
"8.24000","10.27440","1.43819"
"8.24100","10.27565","1.43795"
"8.24200","10.27690","1.43788"
"8.24300","10.27814","1.43806"
"8.24400","10.27939","1.43854"
"8.24500","10.28063","1.43939"
"8.24600","10.28188","1.44055"
"8.24700","10.28312","1.44174"
"8.24800","10.28437","1.44261"
"8.24900","10.28561","1.44302"
"8.25000","10.28686","1.44304"
"8.25100","10.28810","1.44278"
"8.25200","10.28935","1.44235"
"8.25300","10.29059","1.44202"
"8.25400","10.29184","1.44204"
"8.25500","10.29308","1.44236"
"8.25600","10.29433","1.44287"
"8.25700","10.29557","1.44367"
"8.25800","10.29682","1.44487"
"8.25900","10.29806","1.44628"
"8.26000","10.29931","1.44755"
"8.26100","10.30055","1.44856"
"8.26200","10.30180","1.44932"
"8.26300","10.30305","1.44968"
"8.26400","10.30429","1.44955"
"8.26500","10.30554","1.44920"
"8.26600","10.30679","1.44901"
"8.26700","10.30803","1.44909"
"8.26800","10.30928","1.44937"
"8.26900","10.31053","1.44983"
"8.27000","10.31178","1.45058"
"8.27100","10.31302","1.45145"
"8.27200","10.31427","1.45212"
"8.27300","10.31552","1.45239"
"8.27400","10.31677","1.45231"
"8.27500","10.31802","1.45188"
"8.27600","10.31926","1.45109"
"8.27700","10.32051","1.45005"
"8.27800","10.32176","1.44903"
"8.27900","10.32301","1.44828"
"8.28000","10.32425","1.44787"
"8.28100","10.32550","1.44782"
"8.28200","10.32675","1.44810"
"8.28300","10.32800","1.44855"
"8.28400","10.32924","1.44895"
"8.28500","10.33049","1.44915"
"8.28600","10.33174","1.44913"
"8.28700","10.33299","1.44887"
"8.28800","10.33424","1.44849"
"8.28900","10.33549","1.44819"
"8.29000","10.33674","1.44814"
"8.29100","10.33799","1.44838"
"8.29200","10.33924","1.44900"
"8.29300","10.34049","1.45001"
"8.29400","10.34174","1.45113"
"8.29500","10.34299","1.45200"
"8.29600","10.34424","1.45257"
"8.29700","10.34549","1.45289"
"8.29800","10.34674","1.45301"
"8.29900","10.34800","1.45292"
"8.30000","10.34925","1.45265"
"8.30100","10.35050","1.45228"
"8.30200","10.35176","1.45198"
"8.30300","10.35301","1.45189"
"8.30400","10.35426","1.45212"
"8.30500","10.35552","1.45276"
"8.30600","10.35677","1.45369"
"8.30700","10.35802","1.45463"
"8.30800","10.35928","1.45535"
"8.30900","10.36053","1.45577"
"8.31000","10.36178","1.45597"
"8.31100","10.36304","1.45615"
"8.31200","10.36429","1.45631"
"8.31300","10.36555","1.45621"
"8.31400","10.36680","1.45582"
"8.31500","10.36805","1.45550"
"8.31600","10.36931","1.45562"
"8.31700","10.37056","1.45619"
"8.31800","10.37181","1.45698"
"8.31900","10.37307","1.45790"
"8.32000","10.37432","1.45894"
"8.32100","10.37557","1.46004"
"8.32200","10.37683","1.46107"
"8.32300","10.37808","1.46201"
"8.32400","10.37934","1.46292"
"8.32500","10.38059","1.46382"
"8.32600","10.38184","1.46459"
"8.32700","10.38310","1.46519"
"8.32800","10.38435","1.46587"
"8.32900","10.38561","1.46695"
"8.33000","10.38686","1.46841"
"8.33100","10.38812","1.47001"
"8.33200","10.38937","1.47151"
"8.33300","10.39063","1.47267"
"8.33400","10.39188","1.47339"
"8.33500","10.39314","1.47363"
"8.33600","10.39439","1.47341"
"8.33700","10.39565","1.47288"
"8.33800","10.39690","1.47230"
"8.33900","10.39816","1.47185"
"8.34000","10.39941","1.47155"
"8.34100","10.40067","1.47147"
"8.34200","10.40192","1.47160"
"8.34300","10.40317","1.47177"
"8.34400","10.40443","1.47178"
"8.34500","10.40568","1.47170"
"8.34600","10.40693","1.47161"
"8.34700","10.40819","1.47126"
"8.34800","10.40944","1.47036"
"8.34900","10.41069","1.46906"
"8.35000","10.41195","1.46785"
"8.35100","10.41320","1.46707"
"8.35200","10.41445","1.46661"
"8.35300","10.41570","1.46632"
"8.35400","10.41695","1.46650"
"8.35500","10.41820","1.46741"
"8.35600","10.41945","1.46866"
"8.35700","10.42070","1.46957"
"8.35800","10.42195","1.47002"
"8.35900","10.42320","1.47026"
"8.36000","10.42445","1.47029"
"8.36100","10.42570","1.46997"
"8.36200","10.42695","1.46942"
"8.36300","10.42820","1.46895"
"8.36400","10.42945","1.46882"
"8.36500","10.43070","1.46898"
"8.36600","10.43195","1.46932"
"8.36700","10.43320","1.46985"
"8.36800","10.43444","1.47051"
"8.36900","10.43569","1.47097"
"8.37000","10.43694","1.47103"
"8.37100","10.43819","1.47076"
"8.37200","10.43944","1.47025"
"8.37300","10.44069","1.46949"
"8.37400","10.44193","1.46863"
"8.37500","10.44318","1.46795"
"8.37600","10.44443","1.46760"
"8.37700","10.44568","1.46766"
"8.37800","10.44692","1.46815"
"8.37900","10.44817","1.46886"
"8.38000","10.44942","1.46952"
"8.38100","10.45066","1.46997"
"8.38200","10.45191","1.47023"
"8.38300","10.45315","1.47041"
"8.38400","10.45440","1.47051"
"8.38500","10.45564","1.47042"
"8.38600","10.45689","1.47023"
"8.38700","10.45813","1.47029"
"8.38800","10.45938","1.47088"
"8.38900","10.46062","1.47191"
"8.39000","10.46186","1.47316"
"8.39100","10.46311","1.47458"
"8.39200","10.46435","1.47610"
"8.39300","10.46560","1.47760"
