Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.00000","29.96588","0.05170"
"18.10000","30.13242","0.04573"
"18.20000","30.29906","0.05574"
"18.30000","30.46576","0.04872"
"18.40000","30.63238","0.06214"
"18.50000","30.79925","0.06512"
"18.60000","30.96594","0.06606"
"18.70000","31.13262","0.07614"
"18.80000","31.29929","0.07260"
"18.90000","31.46576","0.07187"
"19.00000","31.63236","0.07815"
"19.10000","31.79907","0.08358"
"19.20000","31.96578","0.08842"
"19.30000","32.13245","0.09731"
"19.40000","32.29924","0.09473"
"19.50000","32.46601","0.09345"
"19.60000","32.63260","0.10971"
"19.70000","32.79926","0.11073"
"19.80000","32.96582","0.11713"
"19.90000","33.13253","0.11350"
"20.00000","33.29911","0.12586"
"20.10000","33.46567","0.12944"
"20.20000","33.63248","0.12442"
"20.30000","33.79925","0.13974"
"20.40000","33.96592","0.14104"
"20.50000","34.13254","0.12815"
"20.60000","34.29915","0.15085"
"20.70000","34.46584","0.14195"
"20.80000","34.63245","0.15828"
"20.90000","34.79907","0.16754"
"21.00000","34.96571","0.17083"
"21.10000","35.13245","0.17756"
"21.20000","35.29922","0.17966"
"21.30000","35.46601","0.18934"
"21.40000","35.63257","0.18961"
"21.50000","35.79925","0.19180"
"21.60000","35.96591","0.16619"
"21.70000","36.13259","0.20046"
"21.80000","36.29913","0.20273"
"21.90000","36.46565","0.20828"
"22.00000","36.63240","0.21208"
"22.10000","36.79911","0.22776"
"22.20000","36.96601","0.22398"
"22.30000","37.13261","0.17950"
"22.40000","37.29919","0.20524"
"22.50000","37.46584","0.23484"
"22.60000","37.63252","0.26344"
"22.70000","37.79903","0.25448"
"22.80000","37.96576","0.25485"
"22.90000","38.13238","0.26285"
"23.00000","38.29920","0.25569"
"23.10000","38.46595","0.26590"
"23.20000","38.63260","0.26917"
"23.30000","38.79931","0.27695"
"23.40000","38.96580","0.28788"
"23.50000","39.13238","0.29512"
"23.60000","39.29897","0.29687"
"23.70000","39.46572","0.30545"
"23.80000","39.63247","0.31358"
"23.90000","39.79931","0.31712"
"24.00000","39.96599","0.32327"
"24.10000","40.13256","0.33372"
"24.20000","40.29922","0.33807"
"24.30000","40.46591","0.34841"
"24.40000","40.63242","0.33692"
"24.50000","40.79911","0.35378"
"24.60000","40.96574","0.35320"
"24.70000","41.13239","0.35901"
"24.80000","41.29930","0.35916"
"24.90000","41.46597","0.37970"
"25.00000","41.63248","0.38998"
"25.10000","41.79911","0.38883"
"25.20000","41.96582","0.39151"
"25.30000","42.13246","0.40360"
"25.40000","42.29906","0.39916"
"25.50000","42.46572","0.41849"
"25.60000","42.63243","0.41979"
"25.70000","42.79919","0.41268"
"25.80000","42.96600","0.42939"
"25.90000","43.13254","0.44408"
"26.00000","43.29918","0.44944"
"26.10000","43.46587","0.45247"
"26.20000","43.63246","0.46011"
"26.30000","43.79913","0.47154"
"26.40000","43.96569","0.47822"
"26.50000","44.13242","0.47142"
