Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00003","-0.01302"
"0.10000","0.12532","-0.01113"
"0.20000","0.29829","-0.01252"
"0.30000","0.46566","-0.00456"
"0.40000","0.63237","-0.00745"
"0.50000","0.79907","-0.00343"
"0.60000","0.96577","-0.00424"
"0.70000","1.13248","0.00006"
"0.80000","1.29919","0.00239"
"0.90000","1.46590","0.00469"
"1.00000","1.63255","-0.00288"
"1.10000","1.79924","-0.00239"
"1.20000","1.96579","-0.00230"
"1.30000","2.13246","0.00572"
"1.40000","2.29907","0.00072"
"1.50000","2.46580","0.00093"
"1.60000","2.63250","0.00402"
"1.70000","2.79919","-0.00054"
"1.80000","2.96593","0.01171"
"1.90000","3.13260","-0.00222"
"2.00000","3.29917","0.00104"
"2.10000","3.46578","0.00170"
"2.20000","3.63255","-0.00128"
"2.30000","3.79909","-0.00062"
"2.40000","3.96564","0.00601"
"2.50000","4.13235","-0.00183"
"2.60000","4.29927","0.00557"
"2.70000","4.46599","0.01514"
"2.80000","4.63276","0.00546"
"2.90000","4.79915","0.00904"
"3.00000","4.96577","0.00311"
"3.10000","5.13245","0.01547"
"3.20000","5.29905","0.01217"
"3.30000","5.46569","0.00727"
"3.40000","5.63248","0.02170"
"3.50000","5.79930","0.00364"
"3.60000","5.96599","0.01175"
"3.70000","6.13263","0.00447"
"3.80000","6.29916","-0.00455"
"3.90000","6.46570","-0.00128"
"4.00000","6.63241","0.00702"
"4.10000","6.79915","0.00898"
"4.20000","6.96584","0.01391"
"4.30000","7.13249","0.01005"
"4.40000","7.29923","0.01254"
"4.50000","7.46601","0.00473"
"4.60000","7.63257","0.01112"
"4.70000","7.79920","0.01239"
"4.80000","7.96579","0.01204"
"4.90000","8.13242","0.00778"
"5.00000","8.29909","0.00920"
"5.10000","8.46583","0.00665"
"5.20000","8.63245","0.01499"
"5.30000","8.79928","0.01337"
"5.40000","8.96595","0.00343"
"5.50000","9.13256","0.00998"
"5.60000","9.29916","0.00589"
"5.70000","9.46583","0.01677"
"5.80000","9.63257","0.01979"
"5.90000","9.79908","0.01252"
"6.00000","9.96576","0.01271"
"6.10000","10.13250","0.02110"
"6.20000","10.29928","0.01780"
"6.30000","10.46597","0.01654"
"6.40000","10.63253","0.01749"
"6.50000","10.79917","0.03013"
"6.60000","10.96576","0.01998"
"6.70000","11.13248","0.02817"
"6.80000","11.29916","0.02175"
"6.90000","11.46572","0.03029"
"7.00000","11.63239","0.03371"
"7.10000","11.79914","0.03153"
"7.20000","11.96599","0.03340"
"7.30000","12.13263","0.03556"
"7.40000","12.29928","0.04248"
"7.50000","12.46582","0.03769"
"7.60000","12.63244","0.05136"
"7.70000","12.79908","0.04534"
"7.80000","12.96571","0.04445"
"7.90000","13.13243","0.05097"
"8.00000","13.29924","0.05310"
"8.10000","13.46602","0.05449"
"8.20000","13.63257","0.05852"
"8.30000","13.79922","0.06470"
"8.40000","13.96575","0.06891"
"8.50000","14.13239","0.06839"
"8.60000","14.29908","0.07574"
"8.70000","14.46572","0.07712"
"8.80000","14.63260","0.07694"
