Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00002","-0.00911"
"0.10000","0.12490","-0.01313"
"0.20000","0.29824","-0.00869"
"0.30000","0.46557","-0.00693"
"0.40000","0.63242","-0.01157"
"0.50000","0.79917","-0.00793"
"0.60000","0.96586","-0.00096"
"0.70000","1.13259","-0.01204"
"0.80000","1.29916","-0.01114"
"0.90000","1.46592","-0.00461"
"1.00000","1.63242","-0.00507"
"1.10000","1.79911","-0.00992"
"1.20000","1.96579","-0.00197"
"1.30000","2.13236","-0.00750"
"1.40000","2.29914","-0.00953"
"1.50000","2.46600","-0.00775"
"1.60000","2.63262","-0.00294"
"1.70000","2.79924","-0.00636"
"1.80000","2.96583","-0.00104"
"1.90000","3.13250","-0.00725"
"2.00000","3.29910","-0.00647"
"2.10000","3.46559","-0.01041"
"2.20000","3.63243","-0.01408"
"2.30000","3.79915","-0.00739"
"2.40000","3.96596","-0.00188"
"2.50000","4.13254","-0.01417"
"2.60000","4.29924","-0.00898"
"2.70000","4.46585","-0.00559"
"2.80000","4.63245","-0.00951"
"2.90000","4.79907","-0.00034"
"3.00000","4.96573","-0.00912"
"3.10000","5.13243","-0.00581"
"3.20000","5.29925","-0.00834"
"3.30000","5.46592","-0.00087"
"3.40000","5.63263","-0.00321"
"3.50000","5.79919","-0.00748"
"3.60000","5.96574","-0.00151"
"3.70000","6.13242","-0.00083"
"3.80000","6.29903","-0.01019"
"3.90000","6.46573","-0.00376"
"4.00000","6.63244","-0.00358"
"4.10000","6.79922","-0.00425"
"4.20000","6.96600","-0.00584"
"4.30000","7.13242","-0.00263"
"4.40000","7.29922","-0.00112"
"4.50000","7.46582","-0.01022"
"4.60000","7.63242","-0.00701"
"4.70000","7.79909","-0.00150"
"4.80000","7.96567","-0.00737"
"4.90000","8.13247","-0.00078"
"5.00000","8.29925","-0.00157"
"5.10000","8.46589","-0.00267"
"5.20000","8.63250","-0.00177"
"5.30000","8.79906","-0.00332"
"5.40000","8.96599","-0.00117"
"5.50000","9.13248","0.00531"
"5.60000","9.29905","-0.00083"
"5.70000","9.46574","0.00523"
"5.80000","9.63236","-0.00162"
"5.90000","9.79924","-0.00429"
"6.00000","9.96592","0.00332"
"6.10000","10.13268","-0.00172"
"6.20000","10.29920","0.00426"
"6.30000","10.46584","-0.00123"
"6.40000","10.63251","0.00184"
"6.50000","10.79918","-0.00358"
"6.60000","10.96562","0.00006"
"6.70000","11.13233","-0.00157"
"6.80000","11.29912","0.00451"
"6.90000","11.46605","0.00370"
"7.00000","11.63266","-0.00422"
"7.10000","11.79923","0.00908"
"7.20000","11.96587","0.00353"
"7.30000","12.13249","-0.00077"
"7.40000","12.29915","0.00607"
"7.50000","12.46576","0.00266"
"7.60000","12.63242","0.00556"
"7.70000","12.79926","0.00791"
"7.80000","12.96596","0.00293"
"7.90000","13.13261","0.00955"
"8.00000","13.29922","0.00197"
"8.10000","13.46584","0.00127"
"8.20000","13.63245","-0.00214"
"8.30000","13.79898","0.00670"
"8.40000","13.96574","0.01157"
"8.50000","14.13259","0.00108"
"8.60000","14.29925","0.00820"
